"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:10 GMT 2024","5570","integration test","","","","","works",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:05 GMT 2024","1286","new identity integration test","","","","","works on system engine",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:11 GMT 2024","6737","engine resource manager (account v2)","","","","","retrieves all engines",""
"passed","Tue Jun 25 09:44:15 GMT 2024","Tue Jun 25 09:44:27 GMT 2024","12539","system engine","","","","","resolve engine endpoint",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:24 GMT 2024","20013","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:09 GMT 2024","4884","new identity integration test","","","","","Correctly handles error in json body",""
"skipped","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:04 GMT 2024","6","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:23 GMT 2024","18560","infra v2 integration test","","","","","supports use engine",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:14 GMT 2024","9434","integration test","","","","","test connection",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:06 GMT 2024","2321","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:08 GMT 2024","3597","new identity integration test","","","","","works on user engine with DB",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:06 GMT 2024","1596","new identity integration test","","","","","works on system engine with DB",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:14 GMT 2024","10187","integration test","","","","","custom parser",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:14 GMT 2024","10391","integration test","","","","","show helpful error message on account not found",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:09 GMT 2024","4524","new identity integration test","","","","","works on user engine with no DB",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:11 GMT 2024","6852","integration test","","","","","returns Date type",""
"skipped","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:04 GMT 2024","7","engine integration for account v2","","","","","stops engine",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:10 GMT 2024","6228","integration test","","","","","json output format",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:47 GMT 2024","43147","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Tue Jun 25 09:44:47 GMT 2024","Tue Jun 25 09:44:49 GMT 2024","1794","new date data format","","","","","works",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:05 GMT 2024","1382","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:11 GMT 2024","7152","integration test","","","","","fails on no engine found",""
"failed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:07 GMT 2024","2495","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:13 GMT 2024","8812","integration test","","","","","failed test connection",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:22 GMT 2024","18015","infra v2 integration test","","","","","connects",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:12 GMT 2024","8296","integration test","","","","","stream",""
"passed","Tue Jun 25 09:44:04 GMT 2024","Tue Jun 25 09:44:12 GMT 2024","7662","integration test","","","","","destroyed unfinished statements should throw",""
