"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 06:48:11 GMT 2024","Wed Jun 26 06:48:11 GMT 2024","645","database resource manager","","","","","retrieves all databases",""
"passed","Wed Jun 26 06:48:09 GMT 2024","Wed Jun 26 06:48:09 GMT 2024","621","integration test","","","","","works",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:57 GMT 2024","2807","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:59 GMT 2024","4932","integration test","","","","","show helpful error message on account not found",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:58 GMT 2024","3483","integration test","","","","","json output format",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:58 GMT 2024","3846","integration test","","","","","fails on no engine found",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:59 GMT 2024","4280","integration test","","","","","stream",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:06 GMT 2024","12205","infra v2 integration test","","","","","connects",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:59 GMT 2024","4417","integration test","","","","","failed test connection",""
"passed","Wed Jun 26 06:46:59 GMT 2024","Wed Jun 26 06:47:11 GMT 2024","11623","system engine","","","","","resolve engine endpoint",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:59 GMT 2024","4661","integration test","","","","","test connection",""
"passed","Wed Jun 26 06:48:14 GMT 2024","Wed Jun 26 06:48:15 GMT 2024","548","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:57 GMT 2024","2534","new identity integration test","","","","","works on user engine with no DB",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:24 GMT 2024","29858","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Wed Jun 26 06:48:07 GMT 2024","Wed Jun 26 06:48:07 GMT 2024","668","bytea","","","","","handles select bytea",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:55 GMT 2024","931","new identity integration test","","","","","works on system engine with DB",""
"skipped","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:54 GMT 2024","3","engine integration for account v2","","","","","stops engine",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:58 GMT 2024","4040","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:48:14 GMT 2024","79646","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:07 GMT 2024","13220","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:07 GMT 2024","12419","infra v2 integration test","","","","","supports use engine",""
"skipped","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:54 GMT 2024","2","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"failed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:33 GMT 2024","38968","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:55 GMT 2024","666","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:47:37 GMT 2024","42574","engine resource manager (account v2)","","","","","retrieves all engines",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:56 GMT 2024","1396","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Wed Jun 26 06:48:11 GMT 2024","Wed Jun 26 06:48:11 GMT 2024","727","database resource manager","","","","","retrieves a database by its name",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:56 GMT 2024","2029","new identity integration test","","","","","works on user engine with DB",""
"passed","Wed Jun 26 06:48:07 GMT 2024","Wed Jun 26 06:48:08 GMT 2024","961","bytea","","","","","handles select null bytea",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:55 GMT 2024","689","new identity integration test","","","","","works on system engine",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:58 GMT 2024","3754","integration test","","","","","returns Date type",""
"passed","Wed Jun 26 06:46:54 GMT 2024","Wed Jun 26 06:46:59 GMT 2024","4905","integration test","","","","","custom parser",""
"passed","Wed Jun 26 06:48:05 GMT 2024","Wed Jun 26 06:48:06 GMT 2024","1114","new date data format","","","","","works",""
"passed","Wed Jun 26 06:48:09 GMT 2024","Wed Jun 26 06:48:10 GMT 2024","866","integration test","","","","","hydrates arrays",""
"passed","Wed Jun 26 06:48:07 GMT 2024","Wed Jun 26 06:48:09 GMT 2024","1906","bytea","","","","","handles bytea insert and then select",""
"passed","Wed Jun 26 06:48:10 GMT 2024","Wed Jun 26 06:48:10 GMT 2024","592","streams","","","","","stream transformters",""
"passed","Wed Jun 26 06:48:11 GMT 2024","Wed Jun 26 06:48:12 GMT 2024","541","set statements execution","","","","","set statements are executed correctly",""
