"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:55 GMT 2025","1529","integration test","","","","","json output format",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:51 GMT 2025","2161","prepared statement","","","","","named parameters: should execute with more parameters provided",""
"passed","Tue Aug 19 15:46:11 GMT 2025","Tue Aug 19 15:46:16 GMT 2025","4183","streams","","","","","check sum from stream result",""
"passed","Tue Aug 19 15:45:58 GMT 2025","Tue Aug 19 15:45:59 GMT 2025","984","server side async integration test","","","","","can submit async query",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:52 GMT 2025","3036","prepared statement","","","","","named parameters: should throw error when not enough parameters provided",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:55 GMT 2025","1328","integration test","","","","","works",""
"passed","Tue Aug 19 15:45:54 GMT 2025","Tue Aug 19 15:45:55 GMT 2025","396","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"skipped","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","1126","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:56 GMT 2025","2950","integration test","","","","","string quoting",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:58 GMT 2025","4224","integration test","","","","","failed test connection",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","4031","prepared statement","","","","","normal parameters: check simple query with normalized data",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","623","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:04 GMT 2025","14825","v2 transaction integration tests","","","","","should work with prepared statements",""
"skipped","Tue Aug 19 15:45:54 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","2","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:52 GMT 2025","3387","prepared statement","","","","","named parameters: should throw error when incorrect parameters provided",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:52 GMT 2025","3333","test type casting on fetch","","","","","select struct",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:50 GMT 2025","1368","prepared statement","","","","","named parameters: check simple query",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:05 GMT 2025","16122","v2 transaction integration tests","","","","","should not commit transaction when connection closes",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","529","new identity integration test","","","","","works on system engine with DB",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:50 GMT 2025","845","test type casting on fetch","","","","","select boolean",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:57 GMT 2025","3859","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:51 GMT 2025","1539","test type casting on fetch","","","","","select geography",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:14 GMT 2025","24696","v2 transaction integration tests","","","","","should handle parallel transactions",""
"failed","Tue Aug 19 15:45:58 GMT 2025","Tue Aug 19 15:46:11 GMT 2025","12921","server side async integration test","","","","","test can check execution from another connection",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:50 GMT 2025","1321","test type casting on fetch","","","","","select nullable bigint",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","3903","prepared statement","","","","","normal parameters: check simple query",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","3859","v2 transaction integration tests","","","","","should commit transaction",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:58 GMT 2025","4413","integration test","","","","","test connection",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","431","new identity integration test","","","","","works on system engine",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:09 GMT 2025","19429","v2 transaction integration tests","","","","","should commit table creation and data insertion",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:02 GMT 2025","13208","v2 transaction integration tests","","","","","should handle sequential transactions",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:59 GMT 2025","10073","v2 transaction integration tests","","","","","should rollback transaction using transaction control methods",""
"passed","Tue Aug 19 15:45:58 GMT 2025","Tue Aug 19 15:46:06 GMT 2025","7987","server side async integration test","","","","","can check long-running query status",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:07 GMT 2025","17616","v2 transaction integration tests","","","","","should throw exception when rollback with no transaction",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:50 GMT 2025","1076","test type casting on fetch","","","","","select bigint",""
"passed","Tue Aug 19 15:46:11 GMT 2025","Tue Aug 19 15:46:16 GMT 2025","4911","streams","","","","","check normalized data",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","4691","prepared statement","","","","","normal parameters: should fail with random parameters index",""
"skipped","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:58 GMT 2025","4414","integration test","","","","","custom parser",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:57 GMT 2025","4022","integration test","","","","","stream",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","4217","prepared statement","","","","","normal parameters: should handle various data types",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","3900","test type casting on fetch","","","","","select all types in streaming",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:06 GMT 2025","17248","v2 transaction integration tests","","","","","should throw exception when committing with no transaction",""
"passed","Tue Aug 19 15:45:58 GMT 2025","Tue Aug 19 15:46:07 GMT 2025","8957","server side async integration test","","","","","can cancel long-running query",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:55 GMT 2025","5591","v2 transaction integration tests","","","","","should rollback transaction",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:57 GMT 2025","3407","integration test","","","","","fails on no engine found",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:58 GMT 2025","4522","integration test","","","","","show helpful error message on account not found",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","937","new identity integration test","","","","","works on user engine with DB",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:51 GMT 2025","2378","prepared statement","","","","","named parameters: should execute with random parameters index",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:53 GMT 2025","3569","test type casting on fetch","","","","","select all types",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:46:06 GMT 2025","16836","v2 transaction integration tests","","","","","should throw exception when starting transaction during transaction",""
"passed","Tue Aug 19 15:45:49 GMT 2025","Tue Aug 19 15:45:58 GMT 2025","8529","v2 transaction integration tests","","","","","should commit transaction using transaction control methods",""
"passed","Tue Aug 19 15:45:53 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","1125","new identity integration test","","","","","works on user engine with no DB",""
"skipped","Tue Aug 19 15:45:54 GMT 2025","Tue Aug 19 15:45:54 GMT 2025","3","engine integration for account v2","","","","","stops engine",""
