"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12544","should throw exception when starting transaction during transaction","v2 transaction integration tests","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:30 UTC 2025","","","",""
"","3209","stream","integration test","Sun Dec 14 23:45:23 UTC 2025","passed","Sun Dec 14 23:45:27 UTC 2025","","","",""
"","3","stops engine","engine integration for account v2","Sun Dec 14 23:45:36 UTC 2025","skipped","Sun Dec 14 23:45:36 UTC 2025","","","",""
"","8075","can check long-running query status","server side async integration test","Sun Dec 14 23:45:37 UTC 2025","passed","Sun Dec 14 23:45:45 UTC 2025","","","",""
"","496","retrieves all databases","database resource manager","Sun Dec 14 23:48:46 UTC 2025","passed","Sun Dec 14 23:48:46 UTC 2025","","","",""
"","13250","should throw exception when rollback with no transaction","v2 transaction integration tests","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:31 UTC 2025","","","",""
"","3718","show helpful error message on account not found","integration test","Sun Dec 14 23:45:23 UTC 2025","passed","Sun Dec 14 23:45:27 UTC 2025","","","",""
"","16409","test can check execution from another connection","server side async integration test","Sun Dec 14 23:45:37 UTC 2025","passed","Sun Dec 14 23:45:53 UTC 2025","","","",""
"","4268","normal parameters: should handle various data types","prepared statement","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:22 UTC 2025","","","",""
"","303434","use separate firebolt resource client","engine resource manager (account v2)","Sun Dec 14 23:45:36 UTC 2025","passed","Sun Dec 14 23:50:40 UTC 2025","","","",""
"","2561","string quoting","integration test","Sun Dec 14 23:45:23 UTC 2025","passed","Sun Dec 14 23:45:26 UTC 2025","","","",""
"","3034","should commit transaction","v2 transaction integration tests","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:20 UTC 2025","","","",""
"","10636","should work with prepared statements","v2 transaction integration tests","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:28 UTC 2025","","","",""
"","5564","stream transformers","streams","Sun Dec 14 23:45:34 UTC 2025","passed","Sun Dec 14 23:45:40 UTC 2025","","","",""
"","739","hydrates arrays","integration test","Sun Dec 14 23:48:45 UTC 2025","passed","Sun Dec 14 23:48:46 UTC 2025","","","",""
"","18233","should handle parallel transactions","v2 transaction integration tests","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:36 UTC 2025","","","",""
"","3020","named parameters: should throw error when not enough parameters provided","prepared statement","Sun Dec 14 23:45:17 UTC 2025","passed","Sun Dec 14 23:45:20 UTC 2025","","","",""
"","4","starts engine and waits for it to be ready","engine integration for account v2","Sun Dec 14 23:45:36 UTC 2025","skipped","Sun Dec 14 23:45:36 UTC 2025","","","",""
