"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1863","select bigint","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:02:22 UTC 2025","","","",""
"","75350","should handle sequential transactions","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:36 UTC 2025","","","",""
"","67382","stream syntax error","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:28 UTC 2025","","","",""
"","1746","named parameters: check simple query with normalized data","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:27 UTC 2025","","","",""
"","66066","should rollback transaction","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:27 UTC 2025","","","",""
"","76672","stream with pipeline and backpressure","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:37 UTC 2025","","","",""
"","1614","works on user engine with no DB specified","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:44 UTC 2025","","","",""
"","2846","named parameters: should execute with more parameters provided","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:28 UTC 2025","","","",""
"","81551","stream with different data types and memory management","streams","Wed Nov 12 22:02:21 UTC 2025","failed","Wed Nov 12 22:03:42 UTC 2025","","","",""
"","64710","check sum from stream result","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:25 UTC 2025","","","",""
"","1144","works on system engine with DB","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:44 UTC 2025","","","",""
"","6900","normal parameters: should execute with more parameters provided","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:32 UTC 2025","","","",""
"","5407","string quoting","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:48 UTC 2025","","","",""
"","84637","should commit table creation and data insertion","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:45 UTC 2025","","","",""
"","81590","should throw exception when committing with no transaction","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:42 UTC 2025","","","",""
"","4006","named parameters: should throw error when not enough parameters provided","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:29 UTC 2025","","","",""
"","11159","compare streaming vs normal with pipeline processing","performance comparison","Wed Nov 12 22:03:34 UTC 2025","passed","Wed Nov 12 22:03:45 UTC 2025","","","",""
"","8637","normal query: should execute fine","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:34 UTC 2025","","","",""
"","5799","fails on no engine found","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:48 UTC 2025","","","",""
"","782","works on system engine","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:43 UTC 2025","","","",""
"","5744","normal parameters: check simple query with normalized data","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:31 UTC 2025","","","",""
"","6316","normal parameters: should handle various data types","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:31 UTC 2025","","","",""
"","2303","named parameters: should handle various data types","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:27 UTC 2025","","","",""
"","80057","should not commit transaction when connection closes","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:41 UTC 2025","","","",""
"","77638","should work with prepared statements","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:38 UTC 2025","","","",""
"","64131","select all types in streaming","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:25 UTC 2025","","","",""
"","8048","normal parameters: should throw error when not enough parameters provided","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:33 UTC 2025","","","",""
"","3033","works on user engine with no DB","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:46 UTC 2025","","","",""
"","65997","check normalized data","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:27 UTC 2025","","","",""
"","4156","json output format","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:47 UTC 2025","","","",""
"","7488","normal parameters: should fail with random parameters index","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:33 UTC 2025","","","",""
"","71469","stream backpressure and memory management","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:32 UTC 2025","","","",""
"","63399","select all types","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:24 UTC 2025","","","",""
"","2344","works on user engine with DB","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:45 UTC 2025","","","",""
"","1143","named parameters: check simple query","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:26 UTC 2025","","","",""
"","2369","select nullable bigint","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:02:23 UTC 2025","","","",""
"","3048","select geography","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:02:24 UTC 2025","","","",""
"","4581","named parameters: should throw error when incorrect parameters provided","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:30 UTC 2025","","","",""
"","80951","should throw exception when starting transaction during transaction","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:41 UTC 2025","","","",""
"","70596","should rollback transaction using transaction control methods","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:31 UTC 2025","","","",""
"","6315","destroyed unfinished statements should throw","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:49 UTC 2025","","","",""
"","3034","Correctly handles error in json body","new identity integration test","Wed Nov 12 22:03:43 UTC 2025","skipped","Wed Nov 12 22:03:46 UTC 2025","","","",""
"","62821","select struct","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:23 UTC 2025","","","",""
"","5161","normal parameters: check simple query","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:30 UTC 2025","","","",""
"","86684","should rollback table creation and data insertion","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:47 UTC 2025","","","",""
"","68289","stream division by 0 error","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:29 UTC 2025","","","",""
"","6419","compare normal vs streaming execution performance","performance comparison","Wed Nov 12 22:03:34 UTC 2025","passed","Wed Nov 12 22:03:40 UTC 2025","","","",""
"","4751","returns Date type","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:47 UTC 2025","","","",""
"","3604","works","integration test","Wed Nov 12 22:03:43 UTC 2025","passed","Wed Nov 12 22:03:46 UTC 2025","","","",""
"","1366","select boolean","test type casting on fetch","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:02:22 UTC 2025","","","",""
"","63741","should commit transaction","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:24 UTC 2025","","","",""
"","3420","named parameters: should execute with random parameters index","prepared statement","Wed Nov 12 22:03:25 UTC 2025","passed","Wed Nov 12 22:03:28 UTC 2025","","","",""
"","82221","should throw exception when rollback with no transaction","v2 transaction integration tests","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:43 UTC 2025","","","",""
"","66772","stream transformers","streams","Wed Nov 12 22:02:21 UTC 2025","passed","Wed Nov 12 22:03:27 UTC 2025","","","",""
