"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8213","test connection","integration test","Fri Nov 07 15:05:23 UTC 2025","passed","Fri Nov 07 15:05:31 UTC 2025","","","",""
"","1675","named parameters: check simple query with normalized data","prepared statement","Fri Nov 07 15:04:58 UTC 2025","passed","Fri Nov 07 15:05:00 UTC 2025","","","",""
"","5957","fails on no engine found","integration test","Fri Nov 07 15:05:23 UTC 2025","passed","Fri Nov 07 15:05:29 UTC 2025","","","",""
"","6448","destroyed unfinished statements should throw","integration test","Fri Nov 07 15:05:23 UTC 2025","passed","Fri Nov 07 15:05:30 UTC 2025","","","",""
"","5726","select all types","test type casting on fetch","Fri Nov 07 15:04:51 UTC 2025","passed","Fri Nov 07 15:04:57 UTC 2025","","","",""
"","52112","resolve engine endpoint","system engine","Fri Nov 07 15:06:19 UTC 2025","passed","Fri Nov 07 15:07:11 UTC 2025","","","",""
"","12111","can cancel long-running query","server side async integration test","Fri Nov 07 15:05:32 UTC 2025","passed","Fri Nov 07 15:05:44 UTC 2025","","","",""
"","4560","named parameters: should throw error when incorrect parameters provided","prepared statement","Fri Nov 07 15:04:58 UTC 2025","passed","Fri Nov 07 15:05:03 UTC 2025","","","",""
"","8234","normal parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 07 15:04:58 UTC 2025","passed","Fri Nov 07 15:05:06 UTC 2025","","","",""
"","2268","select negative bigint","test type casting on fetch","Fri Nov 07 15:04:51 UTC 2025","passed","Fri Nov 07 15:04:54 UTC 2025","","","",""
"","3213","Correctly handles error in json body","new identity integration test","Fri Nov 07 15:05:23 UTC 2025","skipped","Fri Nov 07 15:05:26 UTC 2025","","","",""
"","18108","should work with prepared statements","v2 transaction integration tests","Fri Nov 07 15:04:51 UTC 2025","passed","Fri Nov 07 15:05:10 UTC 2025","","","",""
"","53737","start/stop engine","system engine","Fri Nov 07 15:06:19 UTC 2025","skipped","Fri Nov 07 15:07:13 UTC 2025","","","",""
"","7078","stream transformers","streams","Fri Nov 07 15:04:51 UTC 2025","passed","Fri Nov 07 15:04:59 UTC 2025","","","",""
