"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8696","normal query: should execute fine","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:53 UTC 2025","","","",""
"","1575","select bigint","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:39 UTC 2025","","","",""
"","16728","stream with pipeline and backpressure","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:54 UTC 2025","","","",""
"","1672","named parameters: check simple query with normalized data","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:46 UTC 2025","","","",""
"","1267","works on system engine with DB","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:07:57 UTC 2025","","","",""
"","23514","should throw exception when rollback with no transaction","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:08:01 UTC 2025","","","",""
"","2751","select geography","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:40 UTC 2025","","","",""
"","7521","normal parameters: should fail with random parameters index","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:52 UTC 2025","","","",""
"","2402","select negative bigint","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:40 UTC 2025","","","",""
"","5284","select struct","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:43 UTC 2025","","","",""
"","4588","named parameters: should throw error when incorrect parameters provided","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:49 UTC 2025","","","",""
"","18890","should work with prepared statements","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:56 UTC 2025","","","",""
"","4947","returns Date type","integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:08:01 UTC 2025","","","",""
"","6925","normal parameters: should execute with more parameters provided","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:51 UTC 2025","","","",""
"","16363","should handle sequential transactions","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:54 UTC 2025","","","",""
"","3119","Correctly handles error in json body","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","skipped","Wed Nov 12 22:07:59 UTC 2025","","","",""
"","2802","named parameters: should execute with more parameters provided","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:47 UTC 2025","","","",""
"","21363","should not commit transaction when connection closes","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:59 UTC 2025","","","",""
"","11616","should rollback transaction using transaction control methods","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:49 UTC 2025","","","",""
"","1080","select boolean","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:39 UTC 2025","","","",""
"","3118","works on user engine with no DB","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:07:59 UTC 2025","","","",""
"","7157","stream transformers","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:45 UTC 2025","","","",""
"","3410","named parameters: should execute with random parameters index","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:48 UTC 2025","","","",""
"","5199","check sum from stream result","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:43 UTC 2025","","","",""
"","8568","stream division by 0 error","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:46 UTC 2025","","","",""
"","2418","works on user engine with DB","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:07:59 UTC 2025","","","",""
"","7711","stream syntax error","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:45 UTC 2025","","","",""
"","11887","stream backpressure and memory management","streams","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:49 UTC 2025","","","",""
"","1755","works on user engine with no DB specified","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:07:58 UTC 2025","","","",""
"","1913","select nullable bigint","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:40 UTC 2025","","","",""
"","767","works on system engine","new identity integration test","Wed Nov 12 22:07:56 UTC 2025","passed","Wed Nov 12 22:07:57 UTC 2025","","","",""
"","9360","should commit transaction using transaction control methods","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:47 UTC 2025","","","",""
"","1117","named parameters: check simple query","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:46 UTC 2025","","","",""
"","5762","normal parameters: check simple query with normalized data","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:50 UTC 2025","","","",""
"","5167","normal parameters: check simple query","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:50 UTC 2025","","","",""
"","8111","normal parameters: should throw error when not enough parameters provided","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:53 UTC 2025","","","",""
"","6057","select all types","test type casting on fetch","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:44 UTC 2025","","","",""
"","17919","stream with different data types and memory management","streams","Wed Nov 12 22:07:38 UTC 2025","failed","Wed Nov 12 22:07:56 UTC 2025","","","",""
"","2246","named parameters: should handle various data types","prepared statement","Wed Nov 12 22:07:45 UTC 2025","passed","Wed Nov 12 22:07:47 UTC 2025","","","",""
"","7049","should rollback transaction","v2 transaction integration tests","Wed Nov 12 22:07:38 UTC 2025","passed","Wed Nov 12 22:07:45 UTC 2025","","","",""
