"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2737","destroyed unfinished statements should throw","integration test","Mon Dec 29 16:28:22 UTC 2025","passed","Mon Dec 29 16:28:25 UTC 2025","","","",""
"","12552","should throw exception when starting transaction during transaction","v2 transaction integration tests","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:29 UTC 2025","","","",""
"","1364","handles bytea insert and then select","bytea","Mon Dec 29 16:32:44 UTC 2025","passed","Mon Dec 29 16:32:46 UTC 2025","","","",""
"","610","works","integration test","Mon Dec 29 16:32:46 UTC 2025","passed","Mon Dec 29 16:32:47 UTC 2025","","","",""
"","3454","select struct","test type casting on fetch","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:20 UTC 2025","","","",""
"","617","inf and nan values are parsed correctly","inf and nan values parsing","Mon Dec 29 16:32:51 UTC 2025","passed","Mon Dec 29 16:32:52 UTC 2025","","","",""
"","1374","supports use database and use engine","infra v2 integration test","Mon Dec 29 16:28:46 UTC 2025","passed","Mon Dec 29 16:28:47 UTC 2025","","","",""
"","2321","named parameters: should execute with more parameters provided","prepared statement","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:19 UTC 2025","","","",""
"","4516","normal parameters: should execute with more parameters provided","prepared statement","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:21 UTC 2025","","","",""
"","1046","works on user engine with DB","new identity integration test","Mon Dec 29 16:28:22 UTC 2025","passed","Mon Dec 29 16:28:23 UTC 2025","","","",""
"","1345","works on user engine with no DB","new identity integration test","Mon Dec 29 16:28:22 UTC 2025","passed","Mon Dec 29 16:28:23 UTC 2025","","","",""
"","7032","should rollback transaction using transaction control methods","v2 transaction integration tests","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:23 UTC 2025","","","",""
"","507","set statements are executed correctly","set statements execution","Mon Dec 29 16:32:49 UTC 2025","passed","Mon Dec 29 16:32:49 UTC 2025","","","",""
"","480","works on system engine with DB","new identity integration test","Mon Dec 29 16:28:22 UTC 2025","passed","Mon Dec 29 16:28:22 UTC 2025","","","",""
"","2367","string quoting","integration test","Mon Dec 29 16:28:22 UTC 2025","passed","Mon Dec 29 16:28:24 UTC 2025","","","",""
"","1852","select negative bigint","test type casting on fetch","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:18 UTC 2025","","","",""
"","455","connects","infra v2 integration test","Mon Dec 29 16:28:46 UTC 2025","passed","Mon Dec 29 16:28:46 UTC 2025","","","",""
"","893","hydrates arrays","integration test","Mon Dec 29 16:32:46 UTC 2025","passed","Mon Dec 29 16:32:47 UTC 2025","","","",""
"","812","select boolean","test type casting on fetch","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:17 UTC 2025","","","",""
"","3908","normal parameters: check simple query with normalized data","prepared statement","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:20 UTC 2025","","","",""
"","1498","select nullable bigint","test type casting on fetch","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:18 UTC 2025","","","",""
"","251483","retrieves all engines","engine resource manager (account v2)","Mon Dec 29 16:28:35 UTC 2025","passed","Mon Dec 29 16:32:46 UTC 2025","","","",""
"","936","works","new date data format","Mon Dec 29 16:32:43 UTC 2025","passed","Mon Dec 29 16:32:44 UTC 2025","","","",""
"","510","retrieves all databases","database resource manager","Mon Dec 29 16:32:48 UTC 2025","passed","Mon Dec 29 16:32:48 UTC 2025","","","",""
"","1625","named parameters: check simple query with normalized data","prepared statement","Mon Dec 29 16:28:16 UTC 2025","passed","Mon Dec 29 16:28:18 UTC 2025","","","",""
