"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","inf and nan values are parsed correctly","inf and nan values parsing","Fri Nov 14 16:47:30 UTC 2025","skipped","Fri Nov 14 16:47:30 UTC 2025","","","",""
"","2","retrieves all engines","engine resource manager (account v2)","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","should rollback table creation and data insertion","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","5","should commit transaction using transaction control methods","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","8","handles select bytea","bytea","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","7","select all types","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","4","should work with prepared statements","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","8","select all types in streaming","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","5","fails on no engine found","integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","test connection","integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","named parameters: should throw error when incorrect parameters provided","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","2","able to list engines","system engine","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","3","stream division by 0 error","streams","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","3","can cancel long-running query","server side async integration test","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","3","starts engine and waits for it to be ready","engine integration for account v2","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","5","named parameters: should handle various data types","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","2","stops engine","engine integration for account v2","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","stream with pipeline and backpressure","streams","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","2","handles bytea insert and then select","bytea","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","4","named parameters: should execute with more parameters provided","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","normal parameters: check simple query with normalized data","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","8","select nullable bigint","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","8","works on user engine with no DB","new identity integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","1","works","new date data format","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","5","should handle sequential transactions","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","8","Correctly handles error in json body","new identity integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","2","can check long-running query status","server side async integration test","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","7","select struct","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","3","compare normal vs streaming execution performance","performance comparison","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","2","create attach delete engine and database","engine integration for account v2","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","connects","infra v2 integration test","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","5","string quoting","integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","8","works on system engine","new identity integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","5","named parameters: check simple query with normalized data","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","8","select bigint","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","4","failed test connection","integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","2","supports use engine","infra v2 integration test","Fri Nov 14 16:47:28 UTC 2025","skipped","Fri Nov 14 16:47:28 UTC 2025","","","",""
"","8","works on user engine with no DB specified","new identity integration test","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","4","check sum from stream result","streams","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","4","stream syntax error","streams","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","5","should commit transaction","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","5","should rollback transaction","v2 transaction integration tests","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","3","normal parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","7","select geography","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","11","select boolean","test type casting on fetch","Fri Nov 14 16:47:26 UTC 2025","skipped","Fri Nov 14 16:47:26 UTC 2025","","","",""
"","2","execution time comparison with different dataset sizes","performance comparison","Fri Nov 14 16:47:27 UTC 2025","skipped","Fri Nov 14 16:47:27 UTC 2025","","","",""
"","1","works","integration test","Fri Nov 14 16:47:29 UTC 2025","skipped","Fri Nov 14 16:47:29 UTC 2025","","","",""
"","2","handles select geo","geography","Fri Nov 14 16:47:29 UTC 2025","skipped","Fri Nov 14 16:47:29 UTC 2025","","","",""
