"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","365510","stream with different data types and memory management","streams","Fri Nov 07 16:32:07 UTC 2025","failed","Fri Nov 07 16:38:13 UTC 2025","","","",""
"","5079","check sum from stream result","streams","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:12 UTC 2025","","","",""
"","67377","create attach delete engine and database","engine integration for account v2","Fri Nov 07 16:32:36 UTC 2025","passed","Fri Nov 07 16:33:43 UTC 2025","","","",""
"","1416","hydrates arrays","integration test","Fri Nov 07 16:34:43 UTC 2025","passed","Fri Nov 07 16:34:44 UTC 2025","","","",""
"","5293","destroyed unfinished statements should throw","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:40 UTC 2025","","","",""
"","6322","normal parameters: should fail with random parameters index","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:19 UTC 2025","","","",""
"","5009","fails on no engine found","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:39 UTC 2025","","","",""
"","70550","retrieves all engines","engine resource manager (account v2)","Fri Nov 07 16:32:36 UTC 2025","passed","Fri Nov 07 16:33:46 UTC 2025","","","",""
"","4367","normal parameters: check simple query","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:17 UTC 2025","","","",""
"","6808","normal parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:20 UTC 2025","","","",""
"","651","support new auth connection options","auth","Fri Nov 07 16:34:50 UTC 2025","passed","Fri Nov 07 16:34:51 UTC 2025","","","",""
"","2384","named parameters: should execute with more parameters provided","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:15 UTC 2025","","","",""
"","1473","handles select null bytea","bytea","Fri Nov 07 16:34:40 UTC 2025","passed","Fri Nov 07 16:34:42 UTC 2025","","","",""
"","1843","select negative bigint","test type casting on fetch","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:09 UTC 2025","","","",""
"","5636","should rollback transaction","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:13 UTC 2025","","","",""
"","644","works on system engine","new identity integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:35 UTC 2025","","","",""
"","3642","json output format","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:38 UTC 2025","","","",""
"","6641","stream transformers","streams","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:14 UTC 2025","","","",""
"","26343","should handle parallel transactions","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:34 UTC 2025","","","",""
"","55052","can handle mixed case engines and db","infra v2 integration test","Fri Nov 07 16:33:01 UTC 2025","passed","Fri Nov 07 16:33:56 UTC 2025","","","",""
"","19064","test can check execution from another connection","server side async integration test","Fri Nov 07 16:32:41 UTC 2025","passed","Fri Nov 07 16:33:00 UTC 2025","","","",""
"","964","connects","infra v2 integration test","Fri Nov 07 16:33:01 UTC 2025","passed","Fri Nov 07 16:33:02 UTC 2025","","","",""
"","18383","should throw exception when starting transaction during transaction","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:26 UTC 2025","","","",""
"","2587","works on user engine with no DB","new identity integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:37 UTC 2025","","","",""
"","1898","named parameters: should handle various data types","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:15 UTC 2025","","","",""
"","13525","should handle sequential transactions","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:21 UTC 2025","","","",""
"","1101","handles select geo","geography","Fri Nov 07 16:34:46 UTC 2025","passed","Fri Nov 07 16:34:47 UTC 2025","","","",""
"","4672","string quoting","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:39 UTC 2025","","","",""
"","19568","should throw exception when rollback with no transaction","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:27 UTC 2025","","","",""
"","5347","normal parameters: should handle various data types","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:18 UTC 2025","","","",""
"","914","named parameters: check simple query","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:14 UTC 2025","","","",""
"","7305","normal query: should execute fine","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:20 UTC 2025","","","",""
"","11069","can cancel long-running query","server side async integration test","Fri Nov 07 16:32:41 UTC 2025","passed","Fri Nov 07 16:32:52 UTC 2025","","","",""
"","949","inf and nan values are parsed correctly","inf and nan values parsing","Fri Nov 07 16:34:47 UTC 2025","passed","Fri Nov 07 16:34:48 UTC 2025","","","",""
"","7119","stream syntax error","streams","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:14 UTC 2025","","","",""
"","2513","handles bytea insert and then select","bytea","Fri Nov 07 16:34:40 UTC 2025","passed","Fri Nov 07 16:34:43 UTC 2025","","","",""
"","21522","should commit table creation and data insertion","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:29 UTC 2025","","","",""
"","10755","stream backpressure and memory management","streams","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:18 UTC 2025","","","",""
"","4852","normal parameters: check simple query with normalized data","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:18 UTC 2025","","","",""
"","4779","select all types","test type casting on fetch","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:12 UTC 2025","","","",""
"","9250","compare streaming vs normal with pipeline processing","performance comparison","Fri Nov 07 16:32:21 UTC 2025","passed","Fri Nov 07 16:32:30 UTC 2025","","","",""
"","967","handles select bytea","bytea","Fri Nov 07 16:34:40 UTC 2025","passed","Fri Nov 07 16:34:41 UTC 2025","","","",""
"","9535","should rollback transaction using transaction control methods","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:17 UTC 2025","","","",""
"","5542","compare normal vs streaming execution performance","performance comparison","Fri Nov 07 16:32:21 UTC 2025","passed","Fri Nov 07 16:32:26 UTC 2025","","","",""
"","5833","normal parameters: should execute with more parameters provided","prepared statement","Fri Nov 07 16:32:13 UTC 2025","passed","Fri Nov 07 16:32:19 UTC 2025","","","",""
"","6079","failed test connection","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:40 UTC 2025","","","",""
"","1584","select nullable bigint","test type casting on fetch","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:09 UTC 2025","","","",""
"","6561","custom parser","integration test","Fri Nov 07 16:32:34 UTC 2025","skipped","Fri Nov 07 16:32:41 UTC 2025","","","",""
"","15529","should work with prepared statements","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:23 UTC 2025","","","",""
"","6560","test connection","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:41 UTC 2025","","","",""
"","1972","works on user engine with DB","new identity integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:36 UTC 2025","","","",""
"","894","retrieves all databases","database resource manager","Fri Nov 07 16:34:45 UTC 2025","passed","Fri Nov 07 16:34:45 UTC 2025","","","",""
"","1387","works","new date data format","Fri Nov 07 16:34:38 UTC 2025","passed","Fri Nov 07 16:34:40 UTC 2025","","","",""
"","7632","should commit transaction using transaction control methods","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:15 UTC 2025","","","",""
"","4111","returns Date type","integration test","Fri Nov 07 16:32:34 UTC 2025","passed","Fri Nov 07 16:32:38 UTC 2025","","","",""
"","963","select boolean","test type casting on fetch","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:08 UTC 2025","","","",""
"","17623","should not commit transaction when connection closes","v2 transaction integration tests","Fri Nov 07 16:32:07 UTC 2025","passed","Fri Nov 07 16:32:25 UTC 2025","","","",""
