"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:34 GMT 2025","32668","v2 transaction integration tests","","","","","should handle parallel transactions",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:09 GMT 2025","7346","prepared statement","","","","","normal parameters: should throw error when not enough parameters provided",""
"passed","Mon Aug 25 08:12:33 GMT 2025","Mon Aug 25 08:12:41 GMT 2025","7654","streams","","","","","stream division by 0 error",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:05 GMT 2025","3639","prepared statement","","","","","named parameters: should execute with more parameters provided",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:20 GMT 2025","18727","v2 transaction integration tests","","","","","should work with prepared statements",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:07 GMT 2025","5190","test type casting on fetch","","","","","select all types",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:05 GMT 2025","3993","prepared statement","","","","","named parameters: should execute with random parameters index",""
"passed","Mon Aug 25 08:14:37 GMT 2025","Mon Aug 25 08:14:38 GMT 2025","672","boolean","","","","","handles select boolean",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:04 GMT 2025","2277","test type casting on fetch","","","","","select nullable bigint",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:04 GMT 2025","3093","test type casting on fetch","","","","","select geography",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:07 GMT 2025","5843","test type casting on fetch","","","","","select all types in streaming",""
"passed","Mon Aug 25 08:12:33 GMT 2025","Mon Aug 25 08:12:40 GMT 2025","7140","streams","","","","","stream syntax error",""
"passed","Mon Aug 25 08:12:14 GMT 2025","Mon Aug 25 08:12:33 GMT 2025","18693","server side async integration test","","","","","test can check execution from another connection",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:23 GMT 2025","22124","v2 transaction integration tests","","","","","should throw exception when committing with no transaction",""
"passed","Mon Aug 25 08:13:41 GMT 2025","Mon Aug 25 08:26:09 GMT 2025","747483","long running request","","","","","handles long request",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:05 GMT 2025","3321","prepared statement","","","","","named parameters: should handle various data types",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:08 GMT 2025","7007","prepared statement","","","","","normal parameters: should fail with random parameters index",""
"passed","Mon Aug 25 08:12:09 GMT 2025","Mon Aug 25 08:12:10 GMT 2025","455","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:09 GMT 2025","7668","prepared statement","","","","","normal query: should execute fine",""
"passed","Mon Aug 25 08:13:33 GMT 2025","Mon Aug 25 08:13:35 GMT 2025","1879","new date data format","","","","","works",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:29 GMT 2025","27349","v2 transaction integration tests","","","","","should rollback table creation and data insertion",""
"passed","Mon Aug 25 08:13:35 GMT 2025","Mon Aug 25 08:13:36 GMT 2025","907","bytea","","","","","handles select null bytea",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:07 GMT 2025","5867","prepared statement","","","","","normal parameters: check simple query with normalized data",""
"passed","Mon Aug 25 08:12:33 GMT 2025","Mon Aug 25 08:12:37 GMT 2025","4543","streams","","","","","check sum from stream result",""
"passed","Mon Aug 25 08:14:39 GMT 2025","Mon Aug 25 08:14:39 GMT 2025","474","auth","","","","","support new auth connection options",""
"passed","Mon Aug 25 08:13:35 GMT 2025","Mon Aug 25 08:13:37 GMT 2025","1664","bytea","","","","","handles bytea insert and then select",""
"skipped","Mon Aug 25 08:12:41 GMT 2025","Mon Aug 25 08:14:57 GMT 2025","135811","system engine","","","","","start/stop engine",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:04 GMT 2025","2680","test type casting on fetch","","","","","select negative bigint",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:06 GMT 2025","4983","v2 transaction integration tests","","","","","should commit transaction",""
"passed","Mon Aug 25 08:14:38 GMT 2025","Mon Aug 25 08:14:39 GMT 2025","587","account integration","","","","","retrieves default url",""
"passed","Mon Aug 25 08:12:14 GMT 2025","Mon Aug 25 08:12:24 GMT 2025","10187","server side async integration test","","","","","can cancel long-running query",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:26 GMT 2025","25139","v2 transaction integration tests","","","","","should commit table creation and data insertion",""
"passed","Mon Aug 25 08:12:07 GMT 2025","Mon Aug 25 08:12:13 GMT 2025","5151","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:18 GMT 2025","16693","v2 transaction integration tests","","","","","should handle sequential transactions",""
"skipped","Mon Aug 25 08:12:09 GMT 2025","Mon Aug 25 08:12:09 GMT 2025","2","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Mon Aug 25 08:13:39 GMT 2025","Mon Aug 25 08:13:40 GMT 2025","655","set statements execution","","","","","set statements are executed correctly",""
"passed","Mon Aug 25 08:12:07 GMT 2025","Mon Aug 25 08:12:09 GMT 2025","1551","new identity integration test","","","","","works on user engine with DB",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:03 GMT 2025","1465","test type casting on fetch","","","","","select boolean",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:24 GMT 2025","22730","v2 transaction integration tests","","","","","should throw exception when rollback with no transaction",""
"passed","Mon Aug 25 08:12:35 GMT 2025","Mon Aug 25 08:13:24 GMT 2025","49160","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Mon Aug 25 08:12:07 GMT 2025","Mon Aug 25 08:12:12 GMT 2025","4367","integration test","","","","","returns Date type",""
"passed","Mon Aug 25 08:12:09 GMT 2025","Mon Aug 25 08:13:13 GMT 2025","63726","engine resource manager (account v2)","","","","","retrieves all engines",""
"passed","Mon Aug 25 08:12:41 GMT 2025","Mon Aug 25 08:14:57 GMT 2025","135810","system engine","","","","","able to list databases",""
"passed","Mon Aug 25 08:12:09 GMT 2025","Mon Aug 25 08:14:36 GMT 2025","146370","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Mon Aug 25 08:12:33 GMT 2025","Mon Aug 25 08:12:39 GMT 2025","6506","streams","","","","","check normalized data",""
"passed","Mon Aug 25 08:12:01 GMT 2025","Mon Aug 25 08:12:06 GMT 2025","4854","test type casting on fetch","","","","","select struct",""
