"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6525","stream with different data types and memory management","advanced stream tests","Mon Nov 17 16:21:01 UTC 2025","passed","Mon Nov 17 16:21:07 UTC 2025","","","",""
"","12905","should not commit transaction when connection closes","v2 transaction integration tests","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:21:02 UTC 2025","","","",""
"","786","works on system engine with DB","new identity integration test","Mon Nov 17 16:20:57 UTC 2025","passed","Mon Nov 17 16:20:57 UTC 2025","","","",""
"","6178","normal parameters: should handle various data types","prepared statement","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:55 UTC 2025","","","",""
"","7169","normal query: should execute fine","prepared statement","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:56 UTC 2025","","","",""
"","3087","select boolean","test type casting on fetch","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:52 UTC 2025","","","",""
"","3625","select geography","test type casting on fetch","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:53 UTC 2025","","","",""
"","11690","should work with prepared statements","v2 transaction integration tests","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:21:01 UTC 2025","","","",""
"","8425","should rollback transaction using transaction control methods","v2 transaction integration tests","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:57 UTC 2025","","","",""
"","61386","able to list databases","system engine","Mon Nov 17 16:21:28 UTC 2025","passed","Mon Nov 17 16:22:29 UTC 2025","","","",""
"","6428","normal parameters: should execute with more parameters provided","prepared statement","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:55 UTC 2025","","","",""
"","1571","Correctly handles error in json body","new identity integration test","Mon Nov 17 16:20:57 UTC 2025","skipped","Mon Nov 17 16:20:58 UTC 2025","","","",""
"","15312","should commit table creation and data insertion","v2 transaction integration tests","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:21:04 UTC 2025","","","",""
"","80032","can handle mixed case engines and db","infra v2 integration test","Mon Nov 17 16:21:21 UTC 2025","passed","Mon Nov 17 16:22:41 UTC 2025","","","",""
"","3535","custom parser","integration test","Mon Nov 17 16:20:57 UTC 2025","skipped","Mon Nov 17 16:21:00 UTC 2025","","","",""
"","5693","select all types in streaming","test type casting on fetch","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:55 UTC 2025","","","",""
"","16170","execution time comparison with different dataset sizes","performance comparison","Mon Nov 17 16:20:55 UTC 2025","passed","Mon Nov 17 16:21:11 UTC 2025","","","",""
"","2016","supports use engine","infra v2 integration test","Mon Nov 17 16:21:21 UTC 2025","passed","Mon Nov 17 16:21:23 UTC 2025","","","",""
"","4521","named parameters: should execute with more parameters provided","prepared statement","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:54 UTC 2025","","","",""
"","7358","should commit transaction using transaction control methods","v2 transaction integration tests","Mon Nov 17 16:20:49 UTC 2025","passed","Mon Nov 17 16:20:56 UTC 2025","","","",""
"","1840","connects","infra v2 integration test","Mon Nov 17 16:21:21 UTC 2025","passed","Mon Nov 17 16:21:23 UTC 2025","","","",""
