"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17549","should work with prepared statements","v2 transaction integration tests","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:32 UTC 2025","","","",""
"","205513","able to list databases","system engine","Wed Dec 17 13:52:06 UTC 2025","passed","Wed Dec 17 13:55:31 UTC 2025","","","",""
"","7913","normal parameters: should fail with random parameters index","prepared statement","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:22 UTC 2025","","","",""
"","1944","can submit async query","server side async integration test","Wed Dec 17 13:51:45 UTC 2025","passed","Wed Dec 17 13:51:47 UTC 2025","","","",""
"","20964","should throw exception when starting transaction during transaction","v2 transaction integration tests","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:35 UTC 2025","","","",""
"","20018","should not commit transaction when connection closes","v2 transaction integration tests","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:34 UTC 2025","","","",""
"","301528","use separate firebolt resource client","engine resource manager (account v2)","Wed Dec 17 13:51:40 UTC 2025","passed","Wed Dec 17 13:56:41 UTC 2025","","","",""
"","728","support new auth connection options","auth","Wed Dec 17 13:56:06 UTC 2025","passed","Wed Dec 17 13:56:06 UTC 2025","","","",""
"","8491","normal parameters: should throw error when not enough parameters provided","prepared statement","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:22 UTC 2025","","","",""
"","1143","handles select boolean","boolean","Wed Dec 17 13:56:03 UTC 2025","passed","Wed Dec 17 13:56:04 UTC 2025","","","",""
"","5270","select all types","test type casting on fetch","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:19 UTC 2025","","","",""
"","26702","should rollback table creation and data insertion","v2 transaction integration tests","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:41 UTC 2025","","","",""
"","4908","check sum from stream result","streams","Wed Dec 17 13:51:39 UTC 2025","passed","Wed Dec 17 13:51:44 UTC 2025","","","",""
"","203873","resolve engine endpoint","system engine","Wed Dec 17 13:52:06 UTC 2025","passed","Wed Dec 17 13:55:30 UTC 2025","","","",""
"","2948","Correctly handles error in json body","new identity integration test","Wed Dec 17 13:51:23 UTC 2025","skipped","Wed Dec 17 13:51:26 UTC 2025","","","",""
"","6744","normal parameters: should handle various data types","prepared statement","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:21 UTC 2025","","","",""
"","1490","retrieves a database by its name","database resource manager","Wed Dec 17 13:55:56 UTC 2025","passed","Wed Dec 17 13:55:57 UTC 2025","","","",""
"","1529","works on user engine with no DB specified","new identity integration test","Wed Dec 17 13:51:23 UTC 2025","passed","Wed Dec 17 13:51:25 UTC 2025","","","",""
"","7248","stream syntax error","streams","Wed Dec 17 13:51:39 UTC 2025","passed","Wed Dec 17 13:51:47 UTC 2025","","","",""
"","2","starts engine and waits for it to be ready","engine integration for account v2","Wed Dec 17 13:51:40 UTC 2025","skipped","Wed Dec 17 13:51:40 UTC 2025","","","",""
"","1901","select negative bigint","test type casting on fetch","Wed Dec 17 13:51:14 UTC 2025","passed","Wed Dec 17 13:51:16 UTC 2025","","","",""
"","2","stops engine","engine integration for account v2","Wed Dec 17 13:51:40 UTC 2025","skipped","Wed Dec 17 13:51:40 UTC 2025","","","",""
"","2814","supports use database and use engine","infra v2 integration test","Wed Dec 17 13:51:56 UTC 2025","passed","Wed Dec 17 13:51:59 UTC 2025","","","",""
"","2949","works on user engine with no DB","new identity integration test","Wed Dec 17 13:51:23 UTC 2025","passed","Wed Dec 17 13:51:26 UTC 2025","","","",""
"","6683","stream transformers","streams","Wed Dec 17 13:51:39 UTC 2025","passed","Wed Dec 17 13:51:46 UTC 2025","","","",""
"","894","should correctly parse ARRAY(STRUCT()) with case-insensitive field mapping","struct array integration tests","Wed Dec 17 13:55:55 UTC 2025","passed","Wed Dec 17 13:55:56 UTC 2025","","","",""
