"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9931","should throw exception when committing with no transaction","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:45 UTC 2025","","","",""
"","9227","should not commit transaction when connection closes","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:44 UTC 2025","","","",""
"","1457","named parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","8278","should work with prepared statements","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:43 UTC 2025","","","",""
"","248","retrieves default url","account integration","Fri Nov 07 14:49:08 UTC 2025","passed","Fri Nov 07 14:49:08 UTC 2025","","","",""
"","4740","check sum from stream result","streams","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","426","retrieves a database by its name","database resource manager","Fri Nov 07 14:48:47 UTC 2025","passed","Fri Nov 07 14:48:48 UTC 2025","","","",""
"","5754","stream syntax error","streams","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:41 UTC 2025","","","",""
"","2390","normal parameters: should fail with random parameters index","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:41 UTC 2025","","","",""
"","1900","stream","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:52 UTC 2025","","","",""
"","4761","should commit transaction using transaction control methods","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","2157","custom parser","integration test","Fri Nov 07 14:46:50 UTC 2025","skipped","Fri Nov 07 14:46:52 UTC 2025","","","",""
"","357","works","integration test","Fri Nov 07 14:48:47 UTC 2025","passed","Fri Nov 07 14:48:47 UTC 2025","","","",""
"","2966","normal query: should execute fine","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:42 UTC 2025","","","",""
"","1719","normal parameters: check simple query","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","375","inf and nan values are parsed correctly","inf and nan values parsing","Fri Nov 07 14:49:07 UTC 2025","passed","Fri Nov 07 14:49:07 UTC 2025","","","",""
"","9678","should throw exception when starting transaction during transaction","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:45 UTC 2025","","","",""
"","263574","stream with different data types and memory management","streams","Fri Nov 07 14:46:35 UTC 2025","failed","Fri Nov 07 14:50:59 UTC 2025","","","",""
"","9257","stream backpressure and memory management","streams","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:45 UTC 2025","","","",""
"","3614","should rollback transaction","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:39 UTC 2025","","","",""
"","1633","fails on no engine found","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:52 UTC 2025","","","",""
"","5687","should rollback transaction using transaction control methods","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:41 UTC 2025","","","",""
"","843","select boolean","test type casting on fetch","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:36 UTC 2025","","","",""
"","5424","check normalized data","streams","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:41 UTC 2025","","","",""
"","1283","named parameters: should execute with random parameters index","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","4884","compare normal vs streaming execution performance","performance comparison","Fri Nov 07 14:46:42 UTC 2025","passed","Fri Nov 07 14:46:47 UTC 2025","","","",""
"","906","select bigint","test type casting on fetch","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:36 UTC 2025","","","",""
"","2645","should commit transaction","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:38 UTC 2025","","","",""
"","9225","able to list engines","system engine","Fri Nov 07 14:48:22 UTC 2025","passed","Fri Nov 07 14:48:31 UTC 2025","","","",""
"","1192","json output format","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:51 UTC 2025","","","",""
"","386","named parameters: check simple query","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:39 UTC 2025","","","",""
"","1584","named parameters: should throw error when incorrect parameters provided","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:40 UTC 2025","","","",""
"","3112","select all types in streaming","test type casting on fetch","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:38 UTC 2025","","","",""
"","10212","should throw exception when rollback with no transaction","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:45 UTC 2025","","","",""
"","398","set statements are executed correctly","set statements execution","Fri Nov 07 14:48:48 UTC 2025","passed","Fri Nov 07 14:48:49 UTC 2025","","","",""
"","295","handles select bytea","bytea","Fri Nov 07 14:48:46 UTC 2025","passed","Fri Nov 07 14:48:46 UTC 2025","","","",""
"","731","named parameters: check simple query with normalized data","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:39 UTC 2025","","","",""
"","332","handles select boolean","boolean","Fri Nov 07 14:49:07 UTC 2025","passed","Fri Nov 07 14:49:08 UTC 2025","","","",""
"","8980","resolve engine endpoint","system engine","Fri Nov 07 14:48:22 UTC 2025","passed","Fri Nov 07 14:48:31 UTC 2025","","","",""
"","1477","string quoting","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:51 UTC 2025","","","",""
"","644","works","new date data format","Fri Nov 07 14:48:45 UTC 2025","passed","Fri Nov 07 14:48:45 UTC 2025","","","",""
"","929","Correctly handles error in json body","new identity integration test","Fri Nov 07 14:46:50 UTC 2025","skipped","Fri Nov 07 14:46:51 UTC 2025","","","",""
"","2199","show helpful error message on account not found","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:52 UTC 2025","","","",""
"","309","handles select geo","geography","Fri Nov 07 14:48:49 UTC 2025","passed","Fri Nov 07 14:48:49 UTC 2025","","","",""
"","2743","select all types","test type casting on fetch","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:38 UTC 2025","","","",""
"","351","works on system engine with DB","new identity integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:50 UTC 2025","","","",""
"","473","works on user engine with no DB specified","new identity integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:50 UTC 2025","","","",""
"","241","works on system engine","new identity integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:50 UTC 2025","","","",""
"","1255","select geography","test type casting on fetch","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:36 UTC 2025","","","",""
"","2157","test connection","integration test","Fri Nov 07 14:46:50 UTC 2025","passed","Fri Nov 07 14:46:52 UTC 2025","","","",""
"","67645","retrieves all engines","engine resource manager (account v2)","Fri Nov 07 14:46:53 UTC 2025","passed","Fri Nov 07 14:48:00 UTC 2025","","","",""
"","133773","use separate firebolt resource client","engine resource manager (account v2)","Fri Nov 07 14:46:53 UTC 2025","passed","Fri Nov 07 14:49:06 UTC 2025","","","",""
"","7459","should handle sequential transactions","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:43 UTC 2025","","","",""
"","55361","can handle mixed case engines and db","infra v2 integration test","Fri Nov 07 14:47:11 UTC 2025","passed","Fri Nov 07 14:48:06 UTC 2025","","","",""
"","14023","should handle parallel transactions","v2 transaction integration tests","Fri Nov 07 14:46:35 UTC 2025","passed","Fri Nov 07 14:46:49 UTC 2025","","","",""
"","488","supports use engine","infra v2 integration test","Fri Nov 07 14:47:11 UTC 2025","passed","Fri Nov 07 14:47:11 UTC 2025","","","",""
"","2832","normal parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 07 14:46:39 UTC 2025","passed","Fri Nov 07 14:46:41 UTC 2025","","","",""
