"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","514","inf and nan values are parsed correctly","inf and nan values parsing","Fri Nov 14 12:35:40 UTC 2025","passed","Fri Nov 14 12:35:41 UTC 2025","","","",""
"","4401","should commit transaction using transaction control methods","v2 transaction integration tests","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:30 UTC 2025","","","",""
"","26086","retrieves all engines","engine resource manager (account v2)","Fri Nov 14 12:33:45 UTC 2025","passed","Fri Nov 14 12:34:11 UTC 2025","","","",""
"","503","handles select geo","geography","Fri Nov 14 12:35:25 UTC 2025","passed","Fri Nov 14 12:35:26 UTC 2025","","","",""
"","469","set statements are executed correctly","set statements execution","Fri Nov 14 12:35:24 UTC 2025","passed","Fri Nov 14 12:35:25 UTC 2025","","","",""
"","3302","show helpful error message on account not found","integration test","Fri Nov 14 12:33:41 UTC 2025","passed","Fri Nov 14 12:33:45 UTC 2025","","","",""
"","661","works on user engine with no DB specified","new identity integration test","Fri Nov 14 12:33:41 UTC 2025","passed","Fri Nov 14 12:33:42 UTC 2025","","","",""
"","483","works on system engine with DB","new identity integration test","Fri Nov 14 12:33:41 UTC 2025","passed","Fri Nov 14 12:33:42 UTC 2025","","","",""
"","1763","named parameters: should throw error when incorrect parameters provided","prepared statement","Fri Nov 14 12:33:29 UTC 2025","passed","Fri Nov 14 12:33:31 UTC 2025","","","",""
"","6260","stream division by 0 error","streams","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:32 UTC 2025","","","",""
"","459","handles select boolean","boolean","Fri Nov 14 12:35:41 UTC 2025","passed","Fri Nov 14 12:35:41 UTC 2025","","","",""
"","17014","execution time comparison with different dataset sizes","performance comparison","Fri Nov 14 12:33:33 UTC 2025","passed","Fri Nov 14 12:33:50 UTC 2025","","","",""
"","362","resolve default engine endpoint if not provided","engine integration for account v2","Fri Nov 14 12:33:45 UTC 2025","passed","Fri Nov 14 12:33:46 UTC 2025","","","",""
"","7581","should handle sequential transactions","v2 transaction integration tests","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:33 UTC 2025","","","",""
"","1545","named parameters: should throw error when not enough parameters provided","prepared statement","Fri Nov 14 12:33:29 UTC 2025","passed","Fri Nov 14 12:33:31 UTC 2025","","","",""
"","5704","compare normal vs streaming execution performance","performance comparison","Fri Nov 14 12:33:33 UTC 2025","passed","Fri Nov 14 12:33:39 UTC 2025","","","",""
"","440","named parameters: check simple query","prepared statement","Fri Nov 14 12:33:29 UTC 2025","passed","Fri Nov 14 12:33:30 UTC 2025","","","",""
"","2247","string quoting","integration test","Fri Nov 14 12:33:41 UTC 2025","passed","Fri Nov 14 12:33:44 UTC 2025","","","",""
"","13876","stream with pipeline and backpressure","streams","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:39 UTC 2025","","","",""
"","661","handles select null bytea","bytea","Fri Nov 14 12:35:21 UTC 2025","passed","Fri Nov 14 12:35:22 UTC 2025","","","",""
"","4728","check sum from stream result","streams","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:30 UTC 2025","","","",""
"","9832","should not commit transaction when connection closes","v2 transaction integration tests","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:35 UTC 2025","","","",""
"","965","select bigint","test type casting on fetch","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:26 UTC 2025","","","",""
"","10311","should throw exception when starting transaction during transaction","v2 transaction integration tests","Fri Nov 14 12:33:25 UTC 2025","passed","Fri Nov 14 12:33:36 UTC 2025","","","",""
"","437","handles select bytea","bytea","Fri Nov 14 12:35:21 UTC 2025","passed","Fri Nov 14 12:35:22 UTC 2025","","","",""
