"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2982","select struct","test type casting on fetch","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:51 UTC 2025","","","",""
"","1738","select geography","test type casting on fetch","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:50 UTC 2025","","","",""
"","3419","select all types","test type casting on fetch","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:51 UTC 2025","","","",""
"","924","named parameters: check simple query","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:49 UTC 2025","","","",""
"","2385","destroyed unfinished statements should throw","integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:56 UTC 2025","","","",""
"","1780","named parameters: should handle various data types","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:50 UTC 2025","","","",""
"","6446","should rollback transaction using transaction control methods","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:55 UTC 2025","","","",""
"","3698","select all types in streaming","test type casting on fetch","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:52 UTC 2025","","","",""
"","14207","should rollback table creation and data insertion","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:14:02 UTC 2025","","","",""
"","3664","normal parameters: check simple query","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:52 UTC 2025","","","",""
"","1006","works on user engine with DB","new identity integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:54 UTC 2025","","","",""
"","1508","works","integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:55 UTC 2025","","","",""
"","2701","failed test connection","integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:56 UTC 2025","","","",""
"","9743","should work with prepared statements","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:58 UTC 2025","","","",""
"","2526","stream","integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:56 UTC 2025","","","",""
"","11806","should throw exception when rollback with no transaction","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:14:00 UTC 2025","","","",""
"","9033","stream backpressure and memory management","streams","Tue Nov 18 16:14:04 UTC 2025","passed","Tue Nov 18 16:14:13 UTC 2025","","","",""
"","1259","Correctly handles error in json body","new identity integration test","Tue Nov 18 16:13:53 UTC 2025","skipped","Tue Nov 18 16:13:55 UTC 2025","","","",""
"","5457","compare normal vs streaming execution performance","performance comparison","Tue Nov 18 16:13:52 UTC 2025","passed","Tue Nov 18 16:13:58 UTC 2025","","","",""
"","2790","should commit transaction","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:51 UTC 2025","","","",""
"","4828","check sum from stream result","streams","Tue Nov 18 16:14:04 UTC 2025","passed","Tue Nov 18 16:14:09 UTC 2025","","","",""
"","5807","stream syntax error","streams","Tue Nov 18 16:14:04 UTC 2025","passed","Tue Nov 18 16:14:10 UTC 2025","","","",""
"","426","resolve default engine endpoint if not provided","engine integration for account v2","Tue Nov 18 16:14:05 UTC 2025","passed","Tue Nov 18 16:14:06 UTC 2025","","","",""
"","426","works on system engine with DB","new identity integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:54 UTC 2025","","","",""
"","699","works on user engine with no DB specified","new identity integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:54 UTC 2025","","","",""
"","5541","check normalized data","streams","Tue Nov 18 16:14:04 UTC 2025","passed","Tue Nov 18 16:14:09 UTC 2025","","","",""
"","2806","named parameters: should throw error when not enough parameters provided","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:51 UTC 2025","","","",""
"","4966","normal query: should execute fine","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:53 UTC 2025","","","",""
"","4639","normal parameters: should fail with random parameters index","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:53 UTC 2025","","","",""
"","4475","normal parameters: should execute with more parameters provided","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:53 UTC 2025","","","",""
"","830","can submit async query","server side async integration test","Tue Nov 18 16:14:08 UTC 2025","passed","Tue Nov 18 16:14:09 UTC 2025","","","",""
"","2279","fails on no engine found","integration test","Tue Nov 18 16:13:53 UTC 2025","passed","Tue Nov 18 16:13:56 UTC 2025","","","",""
"","4147","normal parameters: should handle various data types","prepared statement","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:52 UTC 2025","","","",""
"","13220","should commit table creation and data insertion","v2 transaction integration tests","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:14:01 UTC 2025","","","",""
"","789","select boolean","test type casting on fetch","Tue Nov 18 16:13:48 UTC 2025","passed","Tue Nov 18 16:13:49 UTC 2025","","","",""
"","15668","execution time comparison with different dataset sizes","performance comparison","Tue Nov 18 16:13:52 UTC 2025","failed","Tue Nov 18 16:14:08 UTC 2025","","","",""
