"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1341","select negative bigint","test type casting on fetch","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:01:49 UTC 2026","","","",""
"","16687","should throw exception when rollback with no transaction","v2 transaction integration tests","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:02:04 UTC 2026","","","",""
"","1200","select nullable bigint","test type casting on fetch","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:01:49 UTC 2026","","","",""
"","1035","handles select geo","geography","Wed Mar 04 15:07:03 UTC 2026","passed","Wed Mar 04 15:07:04 UTC 2026","","","",""
"","1062","hydrates arrays","integration test","Wed Mar 04 15:06:24 UTC 2026","passed","Wed Mar 04 15:06:25 UTC 2026","","","",""
"","2","stops engine","engine integration for account v2","Wed Mar 04 15:02:09 UTC 2026","skipped","Wed Mar 04 15:02:09 UTC 2026","","","",""
"","19923","should rollback table creation and data insertion","v2 transaction integration tests","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:02:07 UTC 2026","","","",""
"","861","should handle SELECT with null struct value (without normalization)","null struct integration tests","Wed Mar 04 15:06:26 UTC 2026","passed","Wed Mar 04 15:06:27 UTC 2026","","","",""
"","3","starts engine and waits for it to be ready","engine integration for account v2","Wed Mar 04 15:02:09 UTC 2026","skipped","Wed Mar 04 15:02:09 UTC 2026","","","",""
"","215280","can handle mixed case engines and db","infra v2 integration test","Wed Mar 04 15:02:21 UTC 2026","passed","Wed Mar 04 15:05:56 UTC 2026","","","",""
"","1168","inf and nan values are parsed correctly","inf and nan values parsing","Wed Mar 04 15:07:01 UTC 2026","passed","Wed Mar 04 15:07:02 UTC 2026","","","",""
"","15064","should not commit transaction when connection closes","v2 transaction integration tests","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:02:03 UTC 2026","","","",""
"","3962","normal parameters: check simple query with normalized data","prepared statement","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:01:51 UTC 2026","","","",""
"","22797","should handle parallel transactions","v2 transaction integration tests","Wed Mar 04 15:01:48 UTC 2026","passed","Wed Mar 04 15:02:10 UTC 2026","","","",""
