"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 07 17:15:53 GMT 2025","Fri Feb 07 17:15:54 GMT 2025","682","integration test","","","","","hydrates arrays",""
"passed","Fri Feb 07 17:15:11 GMT 2025","Fri Feb 07 17:15:28 GMT 2025","17410","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:15:04 GMT 2025","930","new identity integration test","","","","","works on user engine with no DB specified",""
"skipped","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:15:03 GMT 2025","5","engine integration for account v2","","","","","stops engine",""
"passed","Fri Feb 07 17:15:56 GMT 2025","Fri Feb 07 17:15:56 GMT 2025","454","set statements execution","","","","","set statements are executed correctly",""
"passed","Fri Feb 07 17:15:11 GMT 2025","Fri Feb 07 17:15:12 GMT 2025","1112","infra v2 integration test","","","","","supports use engine",""
"passed","Fri Feb 07 17:15:08 GMT 2025","Fri Feb 07 17:15:09 GMT 2025","835","test type casting on fetch","","","","","select bigint",""
"passed","Fri Feb 07 17:15:55 GMT 2025","Fri Feb 07 17:15:56 GMT 2025","733","database resource manager","","","","","retrieves a database by its name",""
"passed","Fri Feb 07 17:15:17 GMT 2025","Fri Feb 07 17:17:05 GMT 2025","107781","system engine","","","","","able to list databases",""
"passed","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:15:06 GMT 2025","2958","integration test","","","","","string quoting",""
"passed","Fri Feb 07 17:15:52 GMT 2025","Fri Feb 07 17:15:52 GMT 2025","459","bytea","","","","","handles select bytea",""
"passed","Fri Feb 07 17:15:52 GMT 2025","Fri Feb 07 17:15:53 GMT 2025","1246","bytea","","","","","handles bytea insert and then select",""
"passed","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:18:49 GMT 2025","225842","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Fri Feb 07 17:15:08 GMT 2025","Fri Feb 07 17:15:08 GMT 2025","520","test type casting on fetch","","","","","select boolean",""
"passed","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:15:05 GMT 2025","1574","new identity integration test","","","","","works on user engine with DB",""
"passed","Fri Feb 07 17:17:26 GMT 2025","Fri Feb 07 17:17:27 GMT 2025","614","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Fri Feb 07 17:15:17 GMT 2025","Fri Feb 07 17:17:04 GMT 2025","107316","system engine","","","","","resolve engine endpoint",""
"passed","Fri Feb 07 17:15:08 GMT 2025","Fri Feb 07 17:15:09 GMT 2025","1119","test type casting on fetch","","","","","select negative bigint",""
"passed","Fri Feb 07 17:15:03 GMT 2025","Fri Feb 07 17:15:08 GMT 2025","4389","integration test","","","","","show helpful error message on account not found",""
"passed","Fri Feb 07 17:17:28 GMT 2025","Fri Feb 07 17:17:29 GMT 2025","370","auth","","","","","support new auth connection options",""
"skipped","Fri Feb 07 17:15:17 GMT 2025","Fri Feb 07 17:17:05 GMT 2025","107782","system engine","","","","","start/stop engine",""
