"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 20 07:46:38 GMT 2025","Sun Apr 20 07:46:41 GMT 2025","2749","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Sun Apr 20 07:46:30 GMT 2025","Sun Apr 20 07:46:36 GMT 2025","6182","streams","","","","","check normalized data",""
"passed","Sun Apr 20 07:46:26 GMT 2025","Sun Apr 20 07:46:28 GMT 2025","2222","server side async integration test","","","","","can submit async query",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:28 GMT 2025","7341","integration test","","","","","stream",""
"passed","Sun Apr 20 07:46:26 GMT 2025","Sun Apr 20 07:46:38 GMT 2025","12294","server side async integration test","","","","","can cancel long-running query",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:24 GMT 2025","2810","new identity integration test","","","","","works on user engine with DB",""
"passed","Sun Apr 20 07:46:38 GMT 2025","Sun Apr 20 07:46:40 GMT 2025","1464","infra v2 integration test","","","","","supports use engine",""
"passed","Sun Apr 20 07:47:15 GMT 2025","Sun Apr 20 07:47:16 GMT 2025","1365","database resource manager","","","","","retrieves a database by its name",""
"passed","Sun Apr 20 07:47:19 GMT 2025","Sun Apr 20 07:55:07 GMT 2025","467964","long running request","","","","","handles long request",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:23 GMT 2025","1974","test type casting on fetch","","","","","select negative bigint",""
"passed","Sun Apr 20 07:46:30 GMT 2025","Sun Apr 20 07:46:35 GMT 2025","4853","streams","","","","","check sum from stream result",""
"passed","Sun Apr 20 07:49:47 GMT 2025","Sun Apr 20 07:49:48 GMT 2025","973","boolean","","","","","handles select boolean",""
"passed","Sun Apr 20 07:49:46 GMT 2025","Sun Apr 20 07:49:47 GMT 2025","1080","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Sun Apr 20 07:46:30 GMT 2025","Sun Apr 20 07:46:36 GMT 2025","6750","streams","","","","","stream transformers",""
"passed","Sun Apr 20 07:47:10 GMT 2025","Sun Apr 20 07:47:12 GMT 2025","1607","bytea","","","","","handles select null bytea",""
"skipped","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:21 GMT 2025","4","engine integration for account v2","","","","","stops engine",""
"skipped","Sun Apr 20 07:46:44 GMT 2025","Sun Apr 20 07:49:30 GMT 2025","166457","system engine","","","","","start/stop engine",""
"passed","Sun Apr 20 07:46:26 GMT 2025","Sun Apr 20 07:46:36 GMT 2025","10258","server side async integration test","","","","","can check long-running query status",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:24 GMT 2025","3503","new identity integration test","","","","","works on user engine with no DB",""
"passed","Sun Apr 20 07:46:44 GMT 2025","Sun Apr 20 07:49:30 GMT 2025","166456","system engine","","","","","able to list databases",""
"passed","Sun Apr 20 07:46:26 GMT 2025","Sun Apr 20 07:46:43 GMT 2025","17445","server side async integration test","","","","","test can check execution from another connection",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:23 GMT 2025","2387","test type casting on fetch","","","","","select geography",""
"passed","Sun Apr 20 07:47:10 GMT 2025","Sun Apr 20 07:47:11 GMT 2025","1016","bytea","","","","","handles select bytea",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:23 GMT 2025","1890","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Sun Apr 20 07:47:13 GMT 2025","Sun Apr 20 07:47:14 GMT 2025","953","integration test","","","","","works",""
"passed","Sun Apr 20 07:47:16 GMT 2025","Sun Apr 20 07:47:17 GMT 2025","1093","set statements execution","","","","","set statements are executed correctly",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:22 GMT 2025","1117","new identity integration test","","","","","works on system engine with DB",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:26 GMT 2025","5371","integration test","","","","","returns Date type",""
"passed","Sun Apr 20 07:49:49 GMT 2025","Sun Apr 20 07:49:50 GMT 2025","701","auth","","","","","support new auth connection options",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:54 GMT 2025","33051","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:28 GMT 2025","6764","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:22 GMT 2025","1651","test type casting on fetch","","","","","select nullable bigint",""
"passed","Sun Apr 20 07:46:44 GMT 2025","Sun Apr 20 07:49:29 GMT 2025","165798","system engine","","","","","able to list engines",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:29 GMT 2025","8648","integration test","","","","","show helpful error message on account not found",""
"skipped","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:21 GMT 2025","3","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:21 GMT 2025","676","new identity integration test","","","","","works on system engine",""
"passed","Sun Apr 20 07:47:17 GMT 2025","Sun Apr 20 07:47:19 GMT 2025","1166","geography","","","","","handles select geo",""
"passed","Sun Apr 20 07:46:38 GMT 2025","Sun Apr 20 07:46:54 GMT 2025","15917","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Sun Apr 20 07:46:44 GMT 2025","Sun Apr 20 07:49:29 GMT 2025","165188","system engine","","","","","resolve engine endpoint",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:27 GMT 2025","6416","integration test","","","","","fails on no engine found",""
"passed","Sun Apr 20 07:46:30 GMT 2025","Sun Apr 20 07:46:38 GMT 2025","8286","streams","","","","","stream division by 0 error",""
"passed","Sun Apr 20 07:47:08 GMT 2025","Sun Apr 20 07:47:09 GMT 2025","1454","new date data format","","","","","works",""
"passed","Sun Apr 20 07:46:30 GMT 2025","Sun Apr 20 07:46:37 GMT 2025","7329","streams","","","","","stream syntax error",""
"passed","Sun Apr 20 07:47:13 GMT 2025","Sun Apr 20 07:47:14 GMT 2025","1520","integration test","","","","","hydrates arrays",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:22 GMT 2025","779","test type casting on fetch","","","","","select boolean",""
"passed","Sun Apr 20 07:47:15 GMT 2025","Sun Apr 20 07:47:16 GMT 2025","944","database resource manager","","","","","retrieves all databases",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:50:27 GMT 2025","245947","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Sun Apr 20 07:49:48 GMT 2025","Sun Apr 20 07:49:49 GMT 2025","776","account integration","","","","","retrieves default url",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:57 GMT 2025","36272","engine resource manager (account v2)","","","","","retrieves all engines",""
"skipped","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:29 GMT 2025","8412","integration test","","","","","custom parser",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:29 GMT 2025","8412","integration test","","","","","test connection",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:28 GMT 2025","7679","integration test","","","","","failed test connection",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:27 GMT 2025","6058","integration test","","","","","string quoting",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:26 GMT 2025","4917","test type casting on fetch","","","","","select struct",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:22 GMT 2025","1104","test type casting on fetch","","","","","select bigint",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:22 GMT 2025","986","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:26 GMT 2025","4777","integration test","","","","","json output format",""
"passed","Sun Apr 20 07:46:38 GMT 2025","Sun Apr 20 07:46:39 GMT 2025","983","infra v2 integration test","","","","","connects",""
"passed","Sun Apr 20 07:47:10 GMT 2025","Sun Apr 20 07:47:13 GMT 2025","2716","bytea","","","","","handles bytea insert and then select",""
"skipped","Sun Apr 20 07:46:21 GMT 2025","Sun Apr 20 07:46:24 GMT 2025","3503","new identity integration test","","","","","Correctly handles error in json body",""
