"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 15:24:07 GMT 2024","Tue Dec 17 15:24:07 GMT 2024","760","infra v2 integration test","","","","","connects",""
"skipped","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:09 GMT 2024","7075","integration test","","","","","custom parser",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:03 GMT 2024","1282","test type casting on fetch","","","","","select bigint",""
"passed","Tue Dec 17 15:26:29 GMT 2024","Tue Dec 17 15:26:30 GMT 2024","696","account integration","","","","","retrieves default url",""
"passed","Tue Dec 17 15:26:27 GMT 2024","Tue Dec 17 15:26:27 GMT 2024","765","set statements execution","","","","","set statements are executed correctly",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:05 GMT 2024","2601","test type casting on fetch","","","","","select geography",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:06 GMT 2024","4451","integration test","","","","","json output format",""
"passed","Tue Dec 17 15:26:26 GMT 2024","Tue Dec 17 15:26:26 GMT 2024","849","streams","","","","","stream transformters",""
"passed","Tue Dec 17 15:24:07 GMT 2024","Tue Dec 17 15:24:08 GMT 2024","1034","infra v2 integration test","","","","","supports use engine",""
"passed","Tue Dec 17 15:26:26 GMT 2024","Tue Dec 17 15:26:27 GMT 2024","774","database resource manager","","","","","retrieves all databases",""
"passed","Tue Dec 17 15:26:23 GMT 2024","Tue Dec 17 15:26:24 GMT 2024","1159","bytea","","","","","handles select null bytea",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:28:07 GMT 2024","245207","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:04 GMT 2024","2277","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Tue Dec 17 15:24:07 GMT 2024","Tue Dec 17 15:26:01 GMT 2024","114329","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:03 GMT 2024","1015","test type casting on fetch","","","","","select boolean",""
"passed","Tue Dec 17 15:26:27 GMT 2024","Tue Dec 17 15:34:16 GMT 2024","468688","long running request","","","","","handles long request",""
"skipped","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:02 GMT 2024","7","engine integration for account v2","","","","","stops engine",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:09 GMT 2024","6665","integration test","","","","","failed test connection",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:06 GMT 2024","3647","new identity integration test","","","","","works on user engine with no DB",""
"passed","Tue Dec 17 15:24:09 GMT 2024","Tue Dec 17 15:26:02 GMT 2024","112493","system engine","","","","","able to list databases",""
"passed","Tue Dec 17 15:26:24 GMT 2024","Tue Dec 17 15:26:26 GMT 2024","1102","integration test","","","","","hydrates arrays",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:05 GMT 2024","3127","new identity integration test","","","","","works on user engine with DB",""
"passed","Tue Dec 17 15:24:07 GMT 2024","Tue Dec 17 15:24:09 GMT 2024","2120","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:09 GMT 2024","7075","integration test","","","","","test connection",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:08 GMT 2024","5676","integration test","","","","","fails on no engine found",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:03 GMT 2024","1255","new identity integration test","","","","","works on system engine with DB",""
"skipped","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:02 GMT 2024","6","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Tue Dec 17 15:26:30 GMT 2024","Tue Dec 17 15:26:31 GMT 2024","464","auth","","","","","support new auth connection options",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:26:49 GMT 2024","166771","engine integration for account v2","","","","","create attach delete engine and database",""
"skipped","Tue Dec 17 15:24:09 GMT 2024","Tue Dec 17 15:26:02 GMT 2024","112494","system engine","","","","","start/stop engine",""
"passed","Tue Dec 17 15:24:09 GMT 2024","Tue Dec 17 15:26:01 GMT 2024","112121","system engine","","","","","able to list engines",""
"passed","Tue Dec 17 15:26:23 GMT 2024","Tue Dec 17 15:26:24 GMT 2024","781","bytea","","","","","handles select bytea",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:04 GMT 2024","2152","test type casting on fetch","","","","","select negative bigint",""
"passed","Tue Dec 17 15:26:24 GMT 2024","Tue Dec 17 15:26:25 GMT 2024","657","integration test","","","","","works",""
"passed","Tue Dec 17 15:26:26 GMT 2024","Tue Dec 17 15:26:27 GMT 2024","1166","database resource manager","","","","","retrieves a database by its name",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:03 GMT 2024","935","new identity integration test","","","","","works on system engine",""
"skipped","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:06 GMT 2024","3648","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Tue Dec 17 15:26:23 GMT 2024","Tue Dec 17 15:26:25 GMT 2024","2018","bytea","","","","","handles bytea insert and then select",""
"passed","Tue Dec 17 15:24:09 GMT 2024","Tue Dec 17 15:26:01 GMT 2024","111685","system engine","","","","","resolve engine endpoint",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:07 GMT 2024","4882","integration test","","","","","returns Date type",""
"passed","Tue Dec 17 15:26:28 GMT 2024","Tue Dec 17 15:26:29 GMT 2024","697","boolean","","","","","handles select boolean",""
"passed","Tue Dec 17 15:26:28 GMT 2024","Tue Dec 17 15:26:28 GMT 2024","717","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:26:52 GMT 2024","170220","engine resource manager (account v2)","","","","","retrieves all engines",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:03 GMT 2024","1100","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:08 GMT 2024","6396","integration test","","","","","stream",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:06 GMT 2024","4540","test type casting on fetch","","","","","select struct",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:09 GMT 2024","7175","integration test","","","","","show helpful error message on account not found",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:08 GMT 2024","5996","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Tue Dec 17 15:24:02 GMT 2024","Tue Dec 17 15:24:07 GMT 2024","5376","integration test","","","","","string quoting",""
"passed","Tue Dec 17 15:26:22 GMT 2024","Tue Dec 17 15:26:24 GMT 2024","1274","new date data format","","","","","works",""
