"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:14 GMT 2025","1855","new identity integration test","","","","","works on user engine with DB",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","1019","test type casting on fetch","","","","","select negative bigint",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","4225","integration test","","","","","failed test connection",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","3808","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:15 GMT 2025","2519","integration test","","","","","works",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:17 GMT 2025","4470","integration test","","","","","test connection",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:15 GMT 2025","2815","integration test","","","","","json output format",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","663","new identity integration test","","","","","works on system engine with DB",""
"skipped","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:17 GMT 2025","4471","integration test","","","","","custom parser",""
"skipped","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:14 GMT 2025","2270","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","553","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","3444","integration test","","","","","string quoting",""
"failed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:14 GMT 2025","2140","test type casting on fetch","","","","","select struct",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","1141","test type casting on fetch","","","","","select geography",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:15 GMT 2025","3106","integration test","","","","","returns Date type",""
"passed","Thu Feb 27 09:21:15 GMT 2025","Thu Feb 27 09:21:24 GMT 2025","9555","server side async integration test","","","","","can cancel long-running query",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:14 GMT 2025","2270","new identity integration test","","","","","works on user engine with no DB",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","3621","integration test","","","","","fails on no engine found",""
"skipped","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:12 GMT 2025","4","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"skipped","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:12 GMT 2025","5","engine integration for account v2","","","","","stops engine",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","4088","integration test","","","","","stream",""
"passed","Thu Feb 27 09:21:15 GMT 2025","Thu Feb 27 09:21:23 GMT 2025","8337","server side async integration test","","","","","can check long-running query status",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:17 GMT 2025","4546","integration test","","","","","show helpful error message on account not found",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","673","test type casting on fetch","","","","","select bigint",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","867","test type casting on fetch","","","","","select nullable bigint",""
"passed","Thu Feb 27 09:21:15 GMT 2025","Thu Feb 27 09:21:16 GMT 2025","1110","server side async integration test","","","","","can submit async query",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","1145","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","495","new identity integration test","","","","","works on system engine",""
"passed","Thu Feb 27 09:21:12 GMT 2025","Thu Feb 27 09:21:13 GMT 2025","571","test type casting on fetch","","","","","select boolean",""
