"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:01 GMT 2024","703","new identity integration test","","","","","works on system engine with DB",""
"skipped","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:37 GMT 2024","10","engine integration for account v2","","","","","stops engine",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:03 GMT 2024","2541","integration test","","","","","json output format",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:01 GMT 2024","908","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Wed Oct 02 13:58:22 GMT 2024","Wed Oct 02 13:58:23 GMT 2024","875","test type casting on fetch","","","","","select negative bigint",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:05 GMT 2024","4361","integration test","","","","","test connection",""
"passed","Wed Oct 02 13:58:07 GMT 2024","Wed Oct 02 13:58:24 GMT 2024","16431","system engine","","","","","able to list engines",""
"passed","Wed Oct 02 13:58:07 GMT 2024","Wed Oct 02 13:58:24 GMT 2024","16678","system engine","","","","","able to list databases",""
"passed","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:39 GMT 2024","1486","infra v2 integration test","","","","","supports use engine",""
"passed","Wed Oct 02 13:58:45 GMT 2024","Wed Oct 02 13:58:46 GMT 2024","649","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:05 GMT 2024","4104","integration test","","","","","failed test connection",""
"passed","Wed Oct 02 13:58:24 GMT 2024","Wed Oct 02 13:58:25 GMT 2024","825","database resource manager","","","","","retrieves a database by its name",""
"passed","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:40 GMT 2024","2893","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:04 GMT 2024","3618","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:04 GMT 2024","3131","integration test","","","","","string quoting",""
"passed","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:38 GMT 2024","1141","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Wed Oct 02 13:58:24 GMT 2024","Wed Oct 02 13:58:24 GMT 2024","530","database resource manager","","","","","retrieves all databases",""
"passed","Wed Oct 02 13:58:07 GMT 2024","Wed Oct 02 13:58:23 GMT 2024","16134","system engine","","","","","resolve engine endpoint",""
"passed","Wed Oct 02 13:58:17 GMT 2024","Wed Oct 02 13:58:18 GMT 2024","1033","new date data format","","","","","works",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:02 GMT 2024","1620","new identity integration test","","","","","works on user engine with no DB",""
"passed","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:38 GMT 2024","1103","infra v2 integration test","","","","","connects",""
"passed","Wed Oct 02 13:58:21 GMT 2024","Wed Oct 02 13:58:22 GMT 2024","813","integration test","","","","","hydrates arrays",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:03 GMT 2024","2843","integration test","","","","","returns Date type",""
"passed","Wed Oct 02 13:58:25 GMT 2024","Wed Oct 02 13:58:26 GMT 2024","761","set statements execution","","","","","set statements are executed correctly",""
"skipped","Wed Oct 02 13:57:37 GMT 2024","Wed Oct 02 13:57:37 GMT 2024","9","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Wed Oct 02 13:58:21 GMT 2024","Wed Oct 02 13:58:22 GMT 2024","550","integration test","","","","","works",""
"passed","Wed Oct 02 13:58:46 GMT 2024","Wed Oct 02 13:58:46 GMT 2024","580","boolean","","","","","handles select boolean",""
"skipped","Wed Oct 02 13:58:07 GMT 2024","Wed Oct 02 13:58:24 GMT 2024","16678","system engine","","","","","start/stop engine",""
"passed","Wed Oct 02 13:58:00 GMT 2024","Wed Oct 02 13:58:04 GMT 2024","3363","integration test","","","","","fails on no engine found",""
