"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 13 14:33:16 GMT 2024","Fri Dec 13 14:33:17 GMT 2024","603","boolean","","","","","handles select boolean",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:48 GMT 2024","2910","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:51 GMT 2024","6218","integration test","","","","","failed test connection",""
"passed","Fri Dec 13 14:30:33 GMT 2024","Fri Dec 13 14:30:34 GMT 2024","698","set statements execution","","","","","set statements are executed correctly",""
"passed","Fri Dec 13 14:30:27 GMT 2024","Fri Dec 13 14:30:28 GMT 2024","1958","bytea","","","","","handles bytea insert and then select",""
"passed","Fri Dec 13 14:29:52 GMT 2024","Fri Dec 13 14:33:08 GMT 2024","196278","system engine","","","","","able to list engines",""
"passed","Fri Dec 13 14:30:29 GMT 2024","Fri Dec 13 14:30:30 GMT 2024","888","integration test","","","","","hydrates arrays",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:46 GMT 2024","1120","infra v2 integration test","","","","","connects",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:50 GMT 2024","5404","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:30:03 GMT 2024","18425","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Fri Dec 13 14:30:30 GMT 2024","Fri Dec 13 14:30:30 GMT 2024","687","test type casting on fetch","","","","","select bigint",""
"passed","Fri Dec 13 14:33:15 GMT 2024","Fri Dec 13 14:33:16 GMT 2024","696","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:50 GMT 2024","4974","integration test","","","","","fails on no engine found",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:33:15 GMT 2024","209983","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Fri Dec 13 14:30:27 GMT 2024","Fri Dec 13 14:30:28 GMT 2024","1190","bytea","","","","","handles select null bytea",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:51 GMT 2024","5868","integration test","","","","","stream",""
"passed","Fri Dec 13 14:30:32 GMT 2024","Fri Dec 13 14:30:33 GMT 2024","1023","database resource manager","","","","","retrieves a database by its name",""
"passed","Fri Dec 13 14:29:45 GMT 2024","Fri Dec 13 14:29:47 GMT 2024","1738","infra v2 integration test","","","","","supports use engine",""
