"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:34 GMT 2024","10195","integration test","","","","","show helpful error message on account not found",""
"failed","Wed Jul 17 15:59:14 GMT 2024","Wed Jul 17 15:59:14 GMT 2024","161","types","","","","","handles select negative bigint",""
"passed","Wed Jul 17 15:59:05 GMT 2024","Wed Jul 17 15:59:07 GMT 2024","2036","new date data format","","","","","works",""
"passed","Wed Jul 17 15:58:34 GMT 2024","Wed Jul 17 15:58:37 GMT 2024","3270","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:25 GMT 2024","803","new identity integration test","","","","","works on system engine",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:30 GMT 2024","6419","integration test","","","","","returns Date type",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:41 GMT 2024","17152","system engine","","","","","resolve engine endpoint",""
"failed","Wed Jul 17 15:59:14 GMT 2024","Wed Jul 17 15:59:14 GMT 2024","160","types","","","","","handles select bigint",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:25 GMT 2024","879","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:32 GMT 2024","8546","integration test","","","","","failed test connection",""
"passed","Wed Jul 17 15:59:12 GMT 2024","Wed Jul 17 15:59:13 GMT 2024","1232","integration test","","","","","works",""
"skipped","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:43 GMT 2024","18828","system engine","","","","","start/stop engine",""
"passed","Wed Jul 17 15:58:34 GMT 2024","Wed Jul 17 15:58:36 GMT 2024","1844","infra v2 integration test","","","","","supports use engine",""
"passed","Wed Jul 17 15:59:08 GMT 2024","Wed Jul 17 15:59:10 GMT 2024","2001","bytea","","","","","handles select null bytea",""
"failed","Wed Jul 17 15:59:14 GMT 2024","Wed Jul 17 15:59:14 GMT 2024","159","types","","","","","handles select boolean",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:28 GMT 2024","4304","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Wed Jul 17 15:58:34 GMT 2024","Wed Jul 17 15:58:54 GMT 2024","19615","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Wed Jul 17 15:59:08 GMT 2024","Wed Jul 17 15:59:11 GMT 2024","3580","bytea","","","","","handles bytea insert and then select",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:30 GMT 2024","5726","integration test","","","","","json output format",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:34 GMT 2024","9961","integration test","","","","","custom parser",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:27 GMT 2024","2994","new identity integration test","","","","","works on user engine with DB",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:59:05 GMT 2024","41652","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:32 GMT 2024","8030","integration test","","","","","stream",""
"passed","Wed Jul 17 15:59:08 GMT 2024","Wed Jul 17 15:59:09 GMT 2024","1220","bytea","","","","","handles select bytea",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:28 GMT 2024","3864","new identity integration test","","","","","works on user engine with no DB",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:42 GMT 2024","17946","system engine","","","","","able to list engines",""
"skipped","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:24 GMT 2024","3","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:59:10 GMT 2024","45923","engine resource manager (account v2)","","","","","retrieves all engines",""
"skipped","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:24 GMT 2024","3","engine integration for account v2","","","","","stops engine",""
"passed","Wed Jul 17 15:59:14 GMT 2024","Wed Jul 17 15:59:15 GMT 2024","1339","streams","","","","","stream transformters",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:25 GMT 2024","1205","new identity integration test","","","","","works on system engine with DB",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:31 GMT 2024","6807","integration test","","","","","fails on no engine found",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:31 GMT 2024","7265","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Wed Jul 17 15:59:12 GMT 2024","Wed Jul 17 15:59:13 GMT 2024","1934","integration test","","","","","hydrates arrays",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:43 GMT 2024","18828","system engine","","","","","able to list databases",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:33 GMT 2024","9256","integration test","","","","","test connection",""
"passed","Wed Jul 17 15:58:34 GMT 2024","Wed Jul 17 15:58:35 GMT 2024","1231","infra v2 integration test","","","","","connects",""
"passed","Wed Jul 17 15:58:24 GMT 2024","Wed Jul 17 15:58:26 GMT 2024","1867","new identity integration test","","","","","works on user engine with no DB specified",""
