"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 13 14:16:57 GMT 2024","Fri Dec 13 14:16:58 GMT 2024","1278","new date data format","","","","","works",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:19 GMT 2024","1244","infra v2 integration test","","","","","supports use engine",""
"passed","Fri Dec 13 14:17:00 GMT 2024","Fri Dec 13 14:17:01 GMT 2024","839","integration test","","","","","hydrates arrays",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:19 GMT 2024","832","new identity integration test","","","","","works on system engine",""
"passed","Fri Dec 13 14:16:59 GMT 2024","Fri Dec 13 14:16:59 GMT 2024","587","bytea","","","","","handles select bytea",""
"passed","Fri Dec 13 14:17:03 GMT 2024","Fri Dec 13 14:17:04 GMT 2024","866","database resource manager","","","","","retrieves a database by its name",""
"skipped","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:18 GMT 2024","4","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Fri Dec 13 14:19:29 GMT 2024","Fri Dec 13 14:19:30 GMT 2024","692","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Fri Dec 13 14:16:24 GMT 2024","Fri Dec 13 14:19:08 GMT 2024","163801","system engine","","","","","able to list engines",""
"passed","Fri Dec 13 14:17:00 GMT 2024","Fri Dec 13 14:17:01 GMT 2024","556","integration test","","","","","works",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:23 GMT 2024","5626","integration test","","","","","stream",""
"passed","Fri Dec 13 14:19:31 GMT 2024","Fri Dec 13 14:19:32 GMT 2024","508","account integration","","","","","retrieves default url",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:19 GMT 2024","1631","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Fri Dec 13 14:16:59 GMT 2024","Fri Dec 13 14:16:59 GMT 2024","857","bytea","","","","","handles select null bytea",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:24 GMT 2024","6255","integration test","","","","","show helpful error message on account not found",""
"skipped","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:20 GMT 2024","2625","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:23 GMT 2024","4824","integration test","","","","","fails on no engine found",""
"passed","Fri Dec 13 14:17:04 GMT 2024","Fri Dec 13 14:17:05 GMT 2024","578","set statements execution","","","","","set statements are executed correctly",""
"skipped","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:24 GMT 2024","6221","integration test","","","","","custom parser",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:19 GMT 2024","1253","new identity integration test","","","","","works on system engine with DB",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:23 GMT 2024","5048","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:20 GMT 2024","2626","new identity integration test","","","","","works on user engine with no DB",""
"skipped","Fri Dec 13 14:16:18 GMT 2024","Fri Dec 13 14:16:18 GMT 2024","5","engine integration for account v2","","","","","stops engine",""
