"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:20 GMT 2025","1353","test type casting on fetch","","","","","select bigint",""
"passed","Mon May 19 10:48:26 GMT 2025","Mon May 19 10:48:33 GMT 2025","6559","streams","","","","","stream division by 0 error",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:21 GMT 2025","2411","prepared statement","","","","","named parameters: should handle various data types",""
"passed","Mon May 19 10:48:24 GMT 2025","Mon May 19 10:49:35 GMT 2025","71244","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Mon May 19 10:48:33 GMT 2025","Mon May 19 10:48:35 GMT 2025","1897","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:21 GMT 2025","2544","new identity integration test","","","","","works on user engine with DB",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:25 GMT 2025","6118","prepared statement","","","","","normal parameters: should fail with random parameters index",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:23 GMT 2025","4908","test type casting on fetch","","","","","select all types in streaming",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:21 GMT 2025","2753","prepared statement","","","","","named parameters: should execute with more parameters provided",""
"skipped","Mon May 19 10:48:41 GMT 2025","Mon May 19 10:52:05 GMT 2025","203663","system engine","","","","","start/stop engine",""
"passed","Mon May 19 10:48:26 GMT 2025","Mon May 19 10:48:32 GMT 2025","6022","streams","","","","","stream syntax error",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:24 GMT 2025","5243","prepared statement","","","","","normal parameters: should handle various data types",""
"passed","Mon May 19 10:48:41 GMT 2025","Mon May 19 10:52:04 GMT 2025","202873","system engine","","","","","resolve engine endpoint",""
"passed","Mon May 19 10:51:28 GMT 2025","Mon May 19 10:51:28 GMT 2025","537","auth","","","","","support new auth connection options",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:26 GMT 2025","7199","integration test","","","","","show helpful error message on account not found",""
"passed","Mon May 19 10:49:52 GMT 2025","Mon May 19 10:57:56 GMT 2025","484247","long running request","","","","","handles long request",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:23 GMT 2025","4904","prepared statement","","","","","normal parameters: check simple query with normalized data",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:22 GMT 2025","3657","prepared statement","","","","","named parameters: should throw error when not enough parameters provided",""
"passed","Mon May 19 10:48:26 GMT 2025","Mon May 19 10:48:27 GMT 2025","1335","server side async integration test","","","","","can submit async query",""
"passed","Mon May 19 10:48:26 GMT 2025","Mon May 19 10:48:31 GMT 2025","5346","streams","","","","","check normalized data",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:26 GMT 2025","7070","prepared statement","","","","","normal query: should execute fine",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:20 GMT 2025","1729","test type casting on fetch","","","","","select nullable bigint",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:20 GMT 2025","925","test type casting on fetch","","","","","select boolean",""
"passed","Mon May 19 10:49:50 GMT 2025","Mon May 19 10:49:51 GMT 2025","801","set statements execution","","","","","set statements are executed correctly",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:24 GMT 2025","4946","integration test","","","","","string quoting",""
"passed","Mon May 19 10:48:26 GMT 2025","Mon May 19 10:48:31 GMT 2025","4392","streams","","","","","check sum from stream result",""
"passed","Mon May 19 10:49:44 GMT 2025","Mon May 19 10:49:45 GMT 2025","1264","new date data format","","","","","works",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:20 GMT 2025","1906","prepared statement","","","","","named parameters: check simple query with normalized data",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:20 GMT 2025","1903","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Mon May 19 10:48:33 GMT 2025","Mon May 19 10:48:34 GMT 2025","700","infra v2 integration test","","","","","connects",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:21 GMT 2025","2377","test type casting on fetch","","","","","select geography",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:25 GMT 2025","6160","integration test","","","","","stream",""
"passed","Mon May 19 10:48:19 GMT 2025","Mon May 19 10:48:24 GMT 2025","5780","prepared statement","","","","","normal parameters: should execute with more parameters provided",""
