"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:13:28 GMT 2025","182491","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Wed Jan 29 09:13:41 GMT 2025","Wed Jan 29 09:13:41 GMT 2025","447","set statements execution","","","","","set statements are executed correctly",""
"passed","Wed Jan 29 09:13:38 GMT 2025","Wed Jan 29 09:13:39 GMT 2025","1180","new date data format","","","","","works",""
"passed","Wed Jan 29 09:13:43 GMT 2025","Wed Jan 29 09:13:44 GMT 2025","407","account integration","","","","","retrieves default url",""
"passed","Wed Jan 29 09:10:29 GMT 2025","Wed Jan 29 09:10:30 GMT 2025","685","infra v2 integration test","","","","","connects",""
"skipped","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:25 GMT 2025","9","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Wed Jan 29 09:13:44 GMT 2025","Wed Jan 29 09:13:44 GMT 2025","340","auth","","","","","support new auth connection options",""
"passed","Wed Jan 29 09:13:38 GMT 2025","Wed Jan 29 09:13:39 GMT 2025","664","bytea","","","","","handles select null bytea",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:28 GMT 2025","2380","new identity integration test","","","","","works on user engine with no DB",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:29 GMT 2025","3495","test type casting on fetch","","","","","select struct",""
"passed","Wed Jan 29 09:13:43 GMT 2025","Wed Jan 29 09:13:43 GMT 2025","475","boolean","","","","","handles select boolean",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:27 GMT 2025","2031","new identity integration test","","","","","works on user engine with DB",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:16:22 GMT 2025","356989","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Wed Jan 29 09:13:41 GMT 2025","Wed Jan 29 09:21:27 GMT 2025","466197","long running request","","","","","handles long request",""
"skipped","Wed Jan 29 09:10:30 GMT 2025","Wed Jan 29 09:13:17 GMT 2025","166388","system engine","","","","","start/stop engine",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:29 GMT 2025","3638","integration test","","","","","string quoting",""
"passed","Wed Jan 29 09:10:25 GMT 2025","Wed Jan 29 09:10:27 GMT 2025","1904","test type casting on fetch","","","","","select geography",""
