"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","526","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1200","integration test","","","","","fails on no engine found",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","854","integration test","","","","","works",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","575","server side async integration test","","","","","can check long-running query status",""
"failed","Tue Feb 11 14:51:29 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","537","test type casting on fetch","","","","","select boolean",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1412","integration test","","","","","stream",""
"skipped","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","813","new identity integration test","","","","","Correctly handles error in json body",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","906","server side async integration test","","","","","test can check execution from another connection",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","500","server side async integration test","","","","","can submit async query",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","589","new identity integration test","","","","","works on user engine with DB",""
"passed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1437","integration test","","","","","failed test connection",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","530","engine resource manager (account v2)","","","","","retrieves all engines",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","809","server side async integration test","","","","","can cancel long-running query",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","978","integration test","","","","","returns Date type",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1474","integration test","","","","","test connection",""
"failed","Tue Feb 11 14:51:29 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","811","test type casting on fetch","","","","","select geography",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","907","integration test","","","","","json output format",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","587","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"skipped","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:28 GMT 2025","5","engine integration for account v2","","","","","stops engine",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","811","new identity integration test","","","","","works on user engine with no DB",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","463","new identity integration test","","","","","works on system engine",""
"failed","Tue Feb 11 14:51:29 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","612","test type casting on fetch","","","","","select negative bigint",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1136","integration test","","","","","string quoting",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1388","integration test","","","","","destroyed unfinished statements should throw",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1690","integration test","","","","","show helpful error message on account not found",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","496","new identity integration test","","","","","works on system engine with DB",""
"failed","Tue Feb 11 14:51:29 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","839","test type casting on fetch","","","","","select struct",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","471","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"skipped","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","1475","integration test","","","","","custom parser",""
"failed","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:29 GMT 2025","504","engine integration for account v2","","","","","create attach delete engine and database",""
"skipped","Tue Feb 11 14:51:28 GMT 2025","Tue Feb 11 14:51:28 GMT 2025","3","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"failed","Tue Feb 11 14:51:29 GMT 2025","Tue Feb 11 14:51:30 GMT 2025","562","test type casting on fetch","","","","","select bigint",""
