"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:49 GMT 2025","2038","prepared statement","","","","","named parameters: should execute with random parameters index",""
"skipped","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:49 GMT 2025","1981","new identity integration test","","","","","Correctly handles error in json body",""
"skipped","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:51 GMT 2025","3896","integration test","","","","","custom parser",""
"skipped","Thu May 15 13:20:50 GMT 2025","Thu May 15 13:20:50 GMT 2025","3","engine integration for account v2","","","","","stops engine",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:51 GMT 2025","3989","prepared statement","","","","","normal query: should execute fine",""
"passed","Thu May 15 13:20:57 GMT 2025","Thu May 15 13:20:58 GMT 2025","599","infra v2 integration test","","","","","connects",""
"skipped","Thu May 15 13:20:50 GMT 2025","Thu May 15 13:20:50 GMT 2025","3","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:48 GMT 2025","1061","test type casting on fetch","","","","","select nullable bigint",""
"passed","Thu May 15 13:20:50 GMT 2025","Thu May 15 13:23:35 GMT 2025","164993","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:49 GMT 2025","2659","test type casting on fetch","","","","","select struct",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:51 GMT 2025","3938","integration test","","","","","show helpful error message on account not found",""
"passed","Thu May 15 13:20:50 GMT 2025","Thu May 15 13:22:00 GMT 2025","69801","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Thu May 15 13:23:39 GMT 2025","Thu May 15 13:23:39 GMT 2025","387","database resource manager","","","","","retrieves all databases",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:48 GMT 2025","1159","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Thu May 15 13:23:50 GMT 2025","Thu May 15 13:23:51 GMT 2025","574","account integration","","","","","retrieves default url",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:51 GMT 2025","3889","prepared statement","","","","","normal parameters: should throw error when not enough parameters provided",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:49 GMT 2025","2711","prepared statement","","","","","normal parameters: check simple query",""
"passed","Thu May 15 13:20:47 GMT 2025","Thu May 15 13:20:48 GMT 2025","1713","prepared statement","","","","","named parameters: should handle various data types",""
"passed","Thu May 15 13:23:40 GMT 2025","Thu May 15 13:23:40 GMT 2025","422","set statements execution","","","","","set statements are executed correctly",""
