"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:23 GMT 2025","5421","test type casting on fetch","","","","","select all types",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:19 GMT 2025","1589","test type casting on fetch","","","","","select nullable bigint",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:23 GMT 2025","5557","integration test","","","","","string quoting",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:19 GMT 2025","1678","prepared statement","","","","","named parameters: check simple query with normalized data",""
"passed","Thu May 08 15:08:23 GMT 2025","Thu May 08 15:08:24 GMT 2025","675","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"skipped","Thu May 08 15:08:23 GMT 2025","Thu May 08 15:08:23 GMT 2025","2","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Thu May 08 15:08:23 GMT 2025","Thu May 08 15:08:54 GMT 2025","30458","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Thu May 08 15:08:23 GMT 2025","Thu May 08 15:11:25 GMT 2025","181402","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Thu May 08 15:11:28 GMT 2025","Thu May 08 15:11:29 GMT 2025","976","bytea","","","","","handles select bytea",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:24 GMT 2025","7103","integration test","","","","","failed test connection",""
"skipped","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:20 GMT 2025","3185","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Thu May 08 15:11:50 GMT 2025","Thu May 08 15:11:51 GMT 2025","1070","boolean","","","","","handles select boolean",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:24 GMT 2025","7143","prepared statement","","","","","normal parameters: should fail with random parameters index",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:24 GMT 2025","6643","prepared statement","","","","","normal parameters: should execute with more parameters provided",""
"passed","Thu May 08 15:11:49 GMT 2025","Thu May 08 15:11:50 GMT 2025","1228","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:18 GMT 2025","1124","prepared statement","","","","","named parameters: check simple query",""
"passed","Thu May 08 15:08:26 GMT 2025","Thu May 08 15:08:34 GMT 2025","7920","streams","","","","","stream division by 0 error",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:22 GMT 2025","4934","prepared statement","","","","","normal parameters: check simple query",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:21 GMT 2025","4234","integration test","","","","","json output format",""
"passed","Thu May 08 15:08:26 GMT 2025","Thu May 08 15:08:30 GMT 2025","4731","streams","","","","","check sum from stream result",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:20 GMT 2025","3186","new identity integration test","","","","","works on user engine with no DB",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:18 GMT 2025","1170","test type casting on fetch","","","","","select bigint",""
"passed","Thu May 08 15:08:25 GMT 2025","Thu May 08 15:08:37 GMT 2025","11855","server side async integration test","","","","","can cancel long-running query",""
"passed","Thu May 08 15:11:32 GMT 2025","Thu May 08 15:11:33 GMT 2025","810","database resource manager","","","","","retrieves all databases",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:18 GMT 2025","893","new identity integration test","","","","","works on system engine",""
"passed","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:20 GMT 2025","3318","prepared statement","","","","","named parameters: should execute with random parameters index",""
"passed","Thu May 08 15:08:43 GMT 2025","Thu May 08 15:12:27 GMT 2025","223640","system engine","","","","","resolve engine endpoint",""
"skipped","Thu May 08 15:08:17 GMT 2025","Thu May 08 15:08:25 GMT 2025","7852","integration test","","","","","custom parser",""
"skipped","Thu May 08 15:08:43 GMT 2025","Thu May 08 15:12:28 GMT 2025","224837","system engine","","","","","start/stop engine",""
"passed","Thu May 08 15:08:25 GMT 2025","Thu May 08 15:08:27 GMT 2025","1773","server side async integration test","","","","","can submit async query",""
"skipped","Thu May 08 15:08:23 GMT 2025","Thu May 08 15:08:23 GMT 2025","2","engine integration for account v2","","","","","stops engine",""
