"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 29 10:26:30 GMT 2025","Tue Apr 29 10:26:31 GMT 2025","822","bytea","","","","","handles select bytea",""
"passed","Tue Apr 29 10:26:35 GMT 2025","Tue Apr 29 10:26:36 GMT 2025","964","set statements execution","","","","","set statements are executed correctly",""
"passed","Tue Apr 29 10:25:43 GMT 2025","Tue Apr 29 10:25:48 GMT 2025","5216","test type casting on fetch","","","","","select all types",""
"passed","Tue Apr 29 10:26:34 GMT 2025","Tue Apr 29 10:26:35 GMT 2025","1133","database resource manager","","","","","retrieves a database by its name",""
"passed","Tue Apr 29 10:26:38 GMT 2025","Tue Apr 29 10:26:39 GMT 2025","907","boolean","","","","","handles select boolean",""
"skipped","Tue Apr 29 10:25:43 GMT 2025","Tue Apr 29 10:25:43 GMT 2025","4","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Tue Apr 29 10:26:28 GMT 2025","Tue Apr 29 10:26:30 GMT 2025","1360","new date data format","","","","","works",""
"passed","Tue Apr 29 10:25:58 GMT 2025","Tue Apr 29 10:26:00 GMT 2025","2464","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Tue Apr 29 10:25:43 GMT 2025","Tue Apr 29 10:29:39 GMT 2025","236429","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Tue Apr 29 10:25:58 GMT 2025","Tue Apr 29 10:26:13 GMT 2025","15311","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Tue Apr 29 10:26:36 GMT 2025","Tue Apr 29 10:26:37 GMT 2025","993","geography","","","","","handles select geo",""
"passed","Tue Apr 29 10:26:37 GMT 2025","Tue Apr 29 10:26:38 GMT 2025","858","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"passed","Tue Apr 29 10:25:48 GMT 2025","Tue Apr 29 10:26:05 GMT 2025","16326","server side async integration test","","","","","test can check execution from another connection",""
