"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 15 14:06:08 GMT 2025","Thu May 15 14:08:55 GMT 2025","167173","system engine","","","","","start/stop engine",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:51 GMT 2025","2182","integration test","","","","","json output format",""
"passed","Thu May 15 14:05:53 GMT 2025","Thu May 15 14:09:10 GMT 2025","196886","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Thu May 15 14:07:06 GMT 2025","Thu May 15 14:07:07 GMT 2025","1097","new date data format","","","","","works",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:52 GMT 2025","2888","prepared statement","","","","","normal parameters: check simple query with normalized data",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:50 GMT 2025","584","test type casting on fetch","","","","","select boolean",""
"skipped","Thu May 15 14:05:53 GMT 2025","Thu May 15 14:05:53 GMT 2025","2","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:52 GMT 2025","2996","test type casting on fetch","","","","","select all types",""
"passed","Thu May 15 14:05:53 GMT 2025","Thu May 15 14:05:59 GMT 2025","5590","streams","","","","","stream transformers",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:53 GMT 2025","3731","prepared statement","","","","","normal parameters: should throw error when not enough parameters provided",""
"passed","Thu May 15 14:07:08 GMT 2025","Thu May 15 14:07:09 GMT 2025","724","bytea","","","","","handles select bytea",""
"passed","Thu May 15 14:07:10 GMT 2025","Thu May 15 14:07:10 GMT 2025","503","integration test","","","","","works",""
"skipped","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:53 GMT 2025","3598","integration test","","","","","custom parser",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:51 GMT 2025","1697","prepared statement","","","","","named parameters: should execute with more parameters provided",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:52 GMT 2025","2644","integration test","","","","","string quoting",""
"passed","Thu May 15 14:06:08 GMT 2025","Thu May 15 14:08:54 GMT 2025","166498","system engine","","","","","resolve engine endpoint",""
"passed","Thu May 15 14:05:49 GMT 2025","Thu May 15 14:05:52 GMT 2025","2774","test type casting on fetch","","","","","select struct",""
