"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:21 GMT 2024","3119","integration test","","","","","json output format",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:23 GMT 2024","5081","integration test","","","","","stream",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:56 GMT 2024","38182","engine integration for account v2","","","","","create attach delete engine and database",""
"passed","Mon Oct 14 18:54:03 GMT 2024","Mon Oct 14 18:54:04 GMT 2024","978","test type casting on fetch","","","","","select negative bigint",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:19 GMT 2024","1325","infra v2 integration test","","","","","supports use engine",""
"passed","Mon Oct 14 18:54:03 GMT 2024","Mon Oct 14 18:54:03 GMT 2024","775","test type casting on fetch","","","","","select bigint",""
"passed","Mon Oct 14 18:54:01 GMT 2024","Mon Oct 14 18:54:02 GMT 2024","1119","integration test","","","","","hydrates arrays",""
"skipped","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:20 GMT 2024","2322","new identity integration test","","","","","Correctly handles error in json body",""
"passed","Mon Oct 14 18:54:04 GMT 2024","Mon Oct 14 18:54:05 GMT 2024","904","database resource manager","","","","","retrieves a database by its name",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:21 GMT 2024","3514","integration test","","","","","returns Date type",""
"passed","Mon Oct 14 18:54:04 GMT 2024","Mon Oct 14 18:54:05 GMT 2024","751","set statements execution","","","","","set statements are executed correctly",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:20 GMT 2024","2602","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:54:31 GMT 2024","72985","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:23 GMT 2024","5306","integration test","","","","","failed test connection",""
"passed","Mon Oct 14 18:54:03 GMT 2024","Mon Oct 14 18:54:03 GMT 2024","669","streams","","","","","stream transformters",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:24 GMT 2024","5764","integration test","","","","","show helpful error message on account not found",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:22 GMT 2024","4504","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:59 GMT 2024","41519","engine resource manager (account v2)","","","","","retrieves all engines",""
"skipped","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:18 GMT 2024","4","engine integration for account v2","","","","","stops engine",""
"passed","Mon Oct 14 18:53:24 GMT 2024","Mon Oct 14 18:53:40 GMT 2024","16545","system engine","","","","","resolve engine endpoint",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:22 GMT 2024","4209","integration test","","","","","fails on no engine found",""
"passed","Mon Oct 14 18:53:57 GMT 2024","Mon Oct 14 18:53:58 GMT 2024","1130","new date data format","","","","","works",""
"skipped","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:18 GMT 2024","4","engine integration for account v2","","","","","starts engine and waits for it to be ready",""
"passed","Mon Oct 14 18:54:07 GMT 2024","Mon Oct 14 18:54:08 GMT 2024","536","auth","","","","","support new auth connection options",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:19 GMT 2024","1230","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Mon Oct 14 18:54:03 GMT 2024","Mon Oct 14 18:54:03 GMT 2024","576","test type casting on fetch","","","","","select boolean",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:19 GMT 2024","924","new identity integration test","","","","","works on system engine with DB",""
"passed","Mon Oct 14 18:54:06 GMT 2024","Mon Oct 14 18:54:06 GMT 2024","636","boolean","","","","","handles select boolean",""
"passed","Mon Oct 14 18:54:04 GMT 2024","Mon Oct 14 18:54:04 GMT 2024","596","database resource manager","","","","","retrieves all databases",""
"skipped","Mon Oct 14 18:53:24 GMT 2024","Mon Oct 14 18:53:41 GMT 2024","17238","system engine","","","","","start/stop engine",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:18 GMT 2024","478","engine integration for account v2","","","","","resolve default engine endpoint if not provided",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:20 GMT 2024","2321","new identity integration test","","","","","works on user engine with no DB",""
"passed","Mon Oct 14 18:53:24 GMT 2024","Mon Oct 14 18:53:41 GMT 2024","17238","system engine","","","","","able to list databases",""
"passed","Mon Oct 14 18:53:59 GMT 2024","Mon Oct 14 18:54:00 GMT 2024","1172","bytea","","","","","handles select null bytea",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:36 GMT 2024","18053","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Mon Oct 14 18:54:01 GMT 2024","Mon Oct 14 18:54:02 GMT 2024","699","integration test","","","","","works",""
"passed","Mon Oct 14 18:54:05 GMT 2024","Mon Oct 14 19:01:50 GMT 2024","465400","long running request","","","","","handles long request",""
"passed","Mon Oct 14 18:53:59 GMT 2024","Mon Oct 14 18:54:00 GMT 2024","778","bytea","","","","","handles select bytea",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:22 GMT 2024","3942","integration test","","","","","string quoting",""
"passed","Mon Oct 14 18:54:05 GMT 2024","Mon Oct 14 18:54:06 GMT 2024","683","inf and nan values parsing","","","","","inf and nan values are parsed correctly",""
"skipped","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:23 GMT 2024","5665","integration test","","","","","custom parser",""
"passed","Mon Oct 14 18:53:59 GMT 2024","Mon Oct 14 18:54:01 GMT 2024","2124","bytea","","","","","handles bytea insert and then select",""
"passed","Mon Oct 14 18:54:07 GMT 2024","Mon Oct 14 18:54:07 GMT 2024","573","account integration","","","","","retrieves default url",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:23 GMT 2024","5665","integration test","","","","","test connection",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:20 GMT 2024","1805","new identity integration test","","","","","works on user engine with DB",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:19 GMT 2024","987","infra v2 integration test","","","","","connects",""
"passed","Mon Oct 14 18:53:24 GMT 2024","Mon Oct 14 18:53:41 GMT 2024","16917","system engine","","","","","able to list engines",""
"passed","Mon Oct 14 18:53:18 GMT 2024","Mon Oct 14 18:53:18 GMT 2024","637","new identity integration test","","","","","works on system engine",""
