"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","4000","integration test","","","","","destroyed unfinished statements should throw",""
"passed","Tue Jan 28 13:16:34 GMT 2025","Tue Jan 28 13:16:36 GMT 2025","1301","infra v2 integration test","","","","","supports use database and use engine",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:32 GMT 2025","903","test type casting on fetch","","","","","select bigint",""
"passed","Tue Jan 28 13:17:17 GMT 2025","Tue Jan 28 13:17:18 GMT 2025","469","integration test","","","","","works",""
"passed","Tue Jan 28 13:17:17 GMT 2025","Tue Jan 28 13:17:18 GMT 2025","819","integration test","","","","","hydrates arrays",""
"passed","Tue Jan 28 13:17:14 GMT 2025","Tue Jan 28 13:17:15 GMT 2025","1076","new date data format","","","","","works",""
"passed","Tue Jan 28 13:17:16 GMT 2025","Tue Jan 28 13:17:16 GMT 2025","703","bytea","","","","","handles select null bytea",""
"passed","Tue Jan 28 13:17:19 GMT 2025","Tue Jan 28 13:17:20 GMT 2025","735","database resource manager","","","","","retrieves a database by its name",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:19:30 GMT 2025","178774","engine resource manager (account v2)","","","","","use separate firebolt resource client",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","3739","integration test","","","","","string quoting",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:32 GMT 2025","1367","new identity integration test","","","","","works on user engine with no DB specified",""
"passed","Tue Jan 28 13:17:21 GMT 2025","Tue Jan 28 13:25:09 GMT 2025","467786","long running request","","","","","handles long request",""
"skipped","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:31 GMT 2025","16","engine integration for account v2","","","","","stops engine",""
"passed","Tue Jan 28 13:19:31 GMT 2025","Tue Jan 28 13:19:31 GMT 2025","514","boolean","","","","","handles select boolean",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:17:09 GMT 2025","37561","engine resource manager (account v2)","","","","","retrieves all engines",""
"passed","Tue Jan 28 13:16:34 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","658","infra v2 integration test","","","","","supports use engine",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:32 GMT 2025","847","new identity integration test","","","","","works on system engine",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:34 GMT 2025","3084","test type casting on fetch","","","","","select struct",""
"passed","Tue Jan 28 13:16:34 GMT 2025","Tue Jan 28 13:16:53 GMT 2025","18360","infra v2 integration test","","","","","can handle mixed case engines and db",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","4386","integration test","","","","","failed test connection",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:33 GMT 2025","2004","new identity integration test","","","","","works on user engine with DB",""
"passed","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","4585","integration test","","","","","show helpful error message on account not found",""
"skipped","Tue Jan 28 13:16:31 GMT 2025","Tue Jan 28 13:16:35 GMT 2025","4539","integration test","","","","","custom parser",""
